row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-004564,jeanne_d'arc_(girl_from_orleans)_(fate),715,オルレアンの娘,FIX_DISPLAY,ジャンヌ・ダルク（Fate）（girl from orleans）,,YOUKAKUNIN_BASE_IDENTITY_PLUS_CANONICAL_VARIANT,HIGH,family_base_display_ja + canonical qualifier; current display raw candidate only,raw候補しかないvariant日本語を断定せず、基準キャラ日本語名＋Danbooru canonical識別子へ戻してidentityを保持。,PROPOSED
I70-004572,hu_tao_(cherries_snow-laden)_(genshin_impact),713,残雪に咲く紅,FIX_DISPLAY,胡桃（原神）（cherries snow-laden）,,YOUKAKUNIN_BASE_IDENTITY_PLUS_CANONICAL_VARIANT,HIGH,family_base_display_ja + canonical qualifier; current display raw candidate only,raw候補しかないvariant日本語を断定せず、基準キャラ日本語名＋Danbooru canonical識別子へ戻してidentityを保持。,PROPOSED
I70-004759,liliya_olenyeva,681,リリア・アーリン,KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:リリア・アーリン,現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-005634,olga_marie_animusphere_(unbeast),564,オルガマリー・アニムスフィア（アンビースト）,FIX_DISPLAY,オルガマリー・アニムスフィア（unbeast）,,YOUKAKUNIN_BASE_IDENTITY_PLUS_CANONICAL_VARIANT,HIGH,family_base_display_ja + canonical qualifier; current display raw candidate only,raw候補しかないvariant日本語を断定せず、基準キャラ日本語名＋Danbooru canonical識別子へ戻してidentityを保持。,PROPOSED
I70-005968,ganyu_(twilight_blossom)_(genshin_impact),525,甘雨（玄玉瑶芳）,FIX_DISPLAY,甘雨（原神）（twilight blossom）,,YOUKAKUNIN_BASE_IDENTITY_PLUS_CANONICAL_VARIANT,HIGH,family_base_display_ja + canonical qualifier; current display raw candidate only,raw候補しかないvariant日本語を断定せず、基準キャラ日本語名＋Danbooru canonical識別子へ戻してidentityを保持。,PROPOSED
I70-005980,m16a1_(boss)_(girls'_frontline),524,M16A1（鉄血）,FIX_DISPLAY,M16A1（boss）,,YOUKAKUNIN_BASE_IDENTITY_PLUS_CANONICAL_VARIANT,HIGH,family_base_display_ja + canonical qualifier; current display raw candidate only,raw候補しかないvariant日本語を断定せず、基準キャラ日本語名＋Danbooru canonical識別子へ戻してidentityを保持。,PROPOSED
I70-007535,serina_(nurse)_(blue_archive),397,鷲見セリナ(ナース),KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:鷲見セリナ(ナース),現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-007692,ishtar_(swimsuit_rider)_(fate),387,イシュタル(水着),KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:イシュタル(水着),現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-007723,hare_(camp)_(blue_archive),385,小鈎ハレ(キャンプ),KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:小鈎ハレ(キャンプ),現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-008075,rumi_(small)_(blue_archive),365,朱城ルミ（幼女）,KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:朱城ルミ(幼女),現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-008098,nidoran,364,ニドラン,KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:ニドラン,現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-008297,natsuiro_matsuri_(casual),353,夏色まつり（私服）,KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:夏色まつり(私服),現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-009231,takamiya_rion_(1st_costume),309,鷹宮リオン（帝華高校制服）,KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:鷹宮リオン(帝華高校制服),現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
I70-010241,kawashiro_mitori,273,河城みとり,KEEP,,,EXACT_STRONG_JA_EVIDENCE_NO_IDENTITY_DEFECT,HIGH,existing_search_ja:河城みとり,現表示が保存済みの強い日本語証拠と完全一致し、重複・識別子欠落・variant identity欠落等の警告もないためKEEP。,PROPOSED
