row_id,canonical_tag,sampled_under,home_state,home_copyright,authority_type,sampled_candidate_verdict,evidence_refs,reviewer_note,second_review_required
I70-000001,hatsune_miku,pokemon,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,https://piapro.net/pages/character,"Official Piapro character, but current catalog lacks a proven canonical Piapro/Crypton home root; do not use legacy pokemon/vocaloid co-occurrence to force a HOME.",true
I70-000054,hibiki_(kancolle),pokemon,HOME_CONFIRMED,kantai_collection,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier kancolle,Canonical qualifier directly proves Kantai Collection; sampled pokemon relation is legacy contamination.,true
I70-000056,gotoh_hitori,pokemon,HOME_CONFIRMED,bocchi_the_rock!,CURATED_COPYRIGHT_LIST,REJECTED,https://bocchi.rocks/tv/character/,Official Bocchi the Rock! character page lists Hitori Gotoh; sampled pokemon relation is legacy contamination.,true
I70-000062,gardevoir,pokemon,HOME_CONFIRMED,pokemon,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://zukan.pokemon.co.jp/detail/0282,Official Pokemon Pokedex identifies Gardevoir as a Pokemon.,true
I70-000064,pikachu,pokemon,HOME_CONFIRMED,pokemon,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://zukan.pokemon.co.jp/detail/0025,Official Pokemon Pokedex identifies Pikachu as a Pokemon.,true
I70-000026,kagamine_rin,vocaloid,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,https://piapro.net/pages/character,"Official Piapro Character, but strict single-home policy has no proven Piapro/Crypton Copyright root in the current catalog. VOCALOID software association alone is not used as HOME authority.",true
I70-000055,kasane_teto,vocaloid,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,INTERNAL:requires independent Teto origin/root authority,Legacy UTAU/Synthesizer V/VOCALOID associations conflict with a simple single-root inference; do not force vocaloid HOME.,true
I70-000065,kagamine_len,vocaloid,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,https://piapro.net/pages/character,"Official Piapro Character, but strict single-home policy has no proven Piapro/Crypton Copyright root in the current catalog. VOCALOID software association alone is not used as HOME authority.",true
I70-000096,megurine_luka,vocaloid,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,https://piapro.net/pages/character,"Official Piapro Character, but strict single-home policy has no proven Piapro/Crypton Copyright root in the current catalog. VOCALOID software association alone is not used as HOME authority.",true
I70-000177,sakayori_iroha,vocaloid,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,INTERNAL:legacy relation only,No accepted independent authority currently proves a canonical home; world_is_mine_(vocaloid) co-occurrence must not create a VOCALOID home.,true
I70-000040,mash_kyrielight,fate_(series),HOME_CONFIRMED,fate_(series),CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,MATCHES_CONFIRMED_HOME,https://www.fate-go.jp/servant/extra.html,Official Fate/Grand Order site lists Mash; normalize the verified subwork to the stable Fate root.,true
I70-000049,fujimaru_ritsuka_(male),fate_(series),HOME_CONFIRMED,fate_(series),CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,MATCHES_CONFIRMED_HOME,https://anime.fate-go.jp/staff.html,Official Fate/Grand Order site names Fujimaru Ritsuka; normalize the verified subwork to the stable Fate root.,true
I70-000071,fujimaru_ritsuka_(female),fate_(series),HOME_CONFIRMED,fate_(series),CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,MATCHES_CONFIRMED_HOME,https://stage.fate-go.jp/character/,Official Fate/Grand Order stage character page names the female Fujimaru; normalize to stable Fate root.,true
I70-000142,illyasviel_von_einzbern,fate_(series),HOME_CONFIRMED,fate_(series),CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,MATCHES_CONFIRMED_HOME,https://typemoon.com/products/f-sn/character/03/,Official Fate/stay night REMASTERED character page identifies Illyasviel; Fate/stay night is the Fate-series origin root.,true
I70-000147,tohsaka_rin,fate_(series),HOME_CONFIRMED,fate_(series),CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,MATCHES_CONFIRMED_HOME,https://typemoon.com/products/f-sn/character/02/,Official Fate/stay night REMASTERED character page identifies Rin; normalize to stable Fate root.,true
I70-000372,nozomi_(blue_archive),umamusume,HOME_CONFIRMED,blue_archive,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier blue_archive,Canonical qualifier directly proves Blue Archive; sampled umamusume relation is legacy contamination.,true
