row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-003016,st._louis_(luxurious_wheels)_(azur_lane),1118,サン・ルイ（Luxurious Wheels）,FIX_DISPLAY,セントルイス（luxurious wheels）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003022,harmony_(pokemon),1114,セイカ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003034,eishin_flash_(meisterschaft)_(umamusume),1109,エイシンフラッシュ（Meisterschaft）,FIX_DISPLAY,エイシンフラッシュ（ウマ娘）（meisterschaft）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003051,klein_moretti,1104,クライン・モレッティ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003075,hebi_nyoubou_(fate),1094,蛇女房,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003078,yuu_(twisted_wonderland),1094,ユウ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003084,saber_alter_(ver._shinjuku_1999),1092,セイバーオルタ（漆黒の騎士王 ver.新宿1999）,FIX_DISPLAY,アルトリア・オルタ（ver. shinjuku 1999）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003099,lamb_(league),1086,ラム,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003102,randal_ivory,1085,ランダル・アイボリー,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003126,yorick_(shiori_novella),1078,ヨリック,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003163,sameko_saba_(1st_costume),1066,さめこさば（通常衣装）,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003176,male_byleth_(awakened)_(fire_emblem),1062,ベレト（覚醒）,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003203,guoba_(genshin_impact),1051,グゥオパァー,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003205,texas_(willpower)_(arknights),1051,テキサス（Willpower）,FIX_DISPLAY,テキサス（アークナイツ）（willpower）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_SEARCH; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003258,rosa_(tears_of_themis),1032,ローザ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003274,nice_nature_(run_&_win)_(umamusume),1026,ナイスネイチャ（Run＆Win）,FIX_DISPLAY,ナイスネイチャ（ウマ娘）（run & win）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003286,crow_(la+_darknesss),1023,カラス,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003344,gentildonna_(regina_dei_fiori)_(umamusume),1003,ジェンティルドンナ（Regina dei Fiori）,FIX_DISPLAY,ジェンティルドンナ（ウマ娘）（regina dei fiori）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003379,kamanosuke_(zenless_zone_zero),994,かまのすけ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003441,magus_(zenless_zone_zero),978,鬼火,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-003452,nanashi_mumei_(emo),975,七詩ムメイ（エモ衣装）,FIX_DISPLAY,七詩ムメイ（emo）,,TRUSTED_BASE_PLUS_CANONICAL_VARIANT_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; exact family base + canonical qualifier diff,現日本語variantは保存証拠ゼロ。検証済み基準キャラ名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-003460,xie_lian,973,謝憐,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-004526,player_character_(female)_(degrees_of_lewdity),723,女性主人公（Degrees of Lewdity）,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
I70-004528,sweety_(zenless_zone_zero),723,紅豆,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_UNSUPPORTED_JA_REQUIRES_EXTERNAL_CHECK,MEDIUM,zero preserved Japanese evidence; post_count >= 500,高影響タグのため日本語を断定も破棄もせず、外部ソースで正式表記を確認する。,PROPOSED
