row_id,canonical_tag,post_count,display_ja,translation_note,related_copyright_top1,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-013516,shiromanta_(character),191,shiromanta (character),machine-like or identity-mismatched wording,senpai_ga_uzai_kouhai_no_hanashi,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-013522,type_95_(narcissus)_(girls'_frontline),191,type 95 (narcissus) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-013824,chloe_(school_festival)_(princess_connect!),185,chloe (school festival) (princess connect!),non-Japanese/simplified-Chinese evidence,princess_connect!,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-013829,drops_(ragnarok_online),185,drops (ragnarok online),machine-like or identity-mismatched wording,ragnarok_online,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-013892,magical_mirai_rin,184,magical mirai rin,machine-like or identity-mismatched wording,vocaloid,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-014234,an-94_(silent_rouge)_(girls'_frontline),178,an-94 (silent rouge) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-014365,deemo_(character),176,deemo (character),machine-like or identity-mismatched wording,deemo,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-014372,ganyu_(china_merchants_bank)_(genshin_impact),176,ganyu (china merchants bank) (genshin impact),non-Japanese/simplified-Chinese evidence,genshin_impact,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-014466,suzuki_sayaka,175,suzuki sayaka,non-Japanese/simplified-Chinese evidence,pani_poni_dash!,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-014550,fused_zamasu,173,fused zamasu,non-Japanese/simplified-Chinese evidence,dragon_ball,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-014963,unicorn_gundam_banshee,167,unicorn gundam banshee,non-Japanese/simplified-Chinese evidence,gundam,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015120,yuki_setsuna_(afterschool_school_idol),165,yuki setsuna (afterschool school idol),non-Japanese/simplified-Chinese evidence,love_live!,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015162,ots-14_(sangria_succulent)_(girls'_frontline),164,ots-14 (sangria succulent) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015261,bluesona_(bluethebone),162,bluesona (bluethebone),machine-like or identity-mismatched wording,original,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015280,ikuchan_kaoru_(character),162,ikuchan kaoru (character),machine-like or identity-mismatched wording,indie_virtual_youtuber,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015298,minion_3_(zannen_onna-kanbu_black_general-san),162,minion 3 (zannen onna-kanbu black general-san),machine-like or identity-mismatched wording,zannen_onna-kanbu_black_general-san,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015335,devilman_(character),161,devilman (character),machine-like or identity-mismatched wording,devilman,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015385,tani_takeshi_(character),161,tani takeshi (character),machine-like or identity-mismatched wording,touhou,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015563,oichi_(sengoku_basara),158,oichi (sengoku basara),non-Japanese/simplified-Chinese evidence,sengoku_basara,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015598,code:_empress_(elsword),157,code: empress (elsword),non-Japanese/simplified-Chinese evidence,elsword,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-015971,rutile_(houseki_no_kuni),153,rutile (houseki no kuni),non-Japanese/simplified-Chinese evidence,houseki_no_kuni,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-016175,hk416_(herbal-flavored_hard_candy)_(girls'_frontline),150,hk416 (herbal-flavored hard candy) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-016521,marin_(ragnarok_online),146,marin (ragnarok online),machine-like or identity-mismatched wording,ragnarok_online,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-016853,kisaragi_ayumi,142,kisaragi ayumi,non-Japanese/simplified-Chinese evidence,toshi_densetsu_kaitai_center,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017021,gamma_2,140,gamma 2,non-Japanese/simplified-Chinese evidence,dragon_ball,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017040,kamen_rider_2,140,kamen rider 2,non-Japanese/simplified-Chinese evidence,kamen_rider,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017214,ryogoku_tsukasa,138,ryogoku tsukasa,non-Japanese/simplified-Chinese evidence,specialite_(company),KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
