special_id,tag,human_decision,general_overlap,general_primary_path,reason
1,anus,GENERAL_SUFFICIENT_CANDIDATE,YES,BODY_PART,"plain anatomy/body-site entry; General exact coverage exists and Special deep value comes from the specific anal acts/states around it rather than the bare body-part row"
49,presenting own body,NEEDS_REVIEW,YES,POSE_MOVEMENT,"generic-looking pose wording and General pose coverage exist, but must confirm whether Danbooru semantics are specifically sexual/presentational enough to justify Special"
54,sex,GENERAL_SUFFICIENT_CANDIDATE,YES,ACTION_CONTACT/INTIMATE,"very broad umbrella concept; specific sex acts/positions remain in Special, while the umbrella itself adds little deep-discovery value"
57,take your pick,NEEDS_REVIEW,YES,ACTION_CONTACT/INTERACTION,"name is non-obvious and may encode a specific adult composition/template; definition should be checked before demotion"
213,urethra,GENERAL_SUFFICIENT_CANDIDATE,YES,BODY_PART,"bare anatomy/body-site entry; urethral insertion/play/sounding concepts remain Special and carry the actual deep-discovery value"
509,pussy,GENERAL_SUFFICIENT_CANDIDATE,YES,BODY_PART,"bare anatomy/slang entry with General exact coverage; specific exposure/action/body-state rows remain Special"
578,penis,GENERAL_SUFFICIENT_CANDIDATE,YES,BODY_PART,"bare anatomy entry with General exact coverage; specific penis states/actions/relations remain Special"
636,nude,GENERAL_SUFFICIENT_CANDIDATE,YES,CLOTHING_STATE_EXPOSURE,"broad ordinary exposure state already covered by General; unusual/specific exposure states remain Special"
638,completely nude,GENERAL_SUFFICIENT_CANDIDATE,YES,CLOTHING_STATE_EXPOSURE,"broad nudity intensity state; General exact coverage is sufficient and deep-discovery value is low"
649,naughty face,GENERAL_SUFFICIENT_CANDIDATE,YES,EXPRESSION_EMOTION,"general expression-level concept; unlike ahegao/torogao it has weak niche/deep-discovery specificity"
664,zenra,GENERAL_SUFFICIENT_CANDIDATE,YES,CLOTHING_STATE_EXPOSURE,"broad full-nudity concept with General exposure coverage; function substantially overlaps ordinary nudity discovery"
665,nipples,GENERAL_SUFFICIENT_CANDIDATE,YES,BODY_PART,"bare anatomy entry; specific nipple states/exposure/stimulation/piercing concepts remain Special"
666,topless female,GENERAL_SUFFICIENT_CANDIDATE,YES,CLOTHING_STATE_EXPOSURE,"common exposure state with General exact coverage; specific breast/nipple exposure variants retain Special value"
722,loli,GENERAL_SUFFICIENT_CANDIDATE,YES,PERSON_COUNT,"general character-type concept rather than a deep adult act/state; General exact coverage exists, while explicit compound adult-context concepts stay Special"
724,shota,GENERAL_SUFFICIENT_CANDIDATE,YES,PERSON_COUNT,"general character-type concept rather than a deep adult act/state; General exact coverage exists, while explicit compound adult-context concepts stay Special"
