row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000167,phainon_(honkai:_star_rail),10305,ファイノン（崩壊：スターレイル）,ファイノン（崩壊：スターレイル） | ファイノン,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000177,sakayori_iroha,9997,酒寄彩葉,酒寄彩葉,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000206,tamamo_no_mae_(fate),9136,玉藻の前（Fate）,玉藻の前（Fate） | 玉藻の前,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000222,miki_sayaka_(magical_girl),8745,美樹さやか（魔法少女）,美樹さやか（魔法少女） | 美樹さやか,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000404,aubrey_(omori),6280,オーブリー（OMORI）,オーブリー（OMORI） | オーブリー,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000454,narukami_yu,5768,鳴上悠,鳴上悠,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000541,kel_(omori),5032,ケル（OMORI）,ケル（OMORI） | ケル,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000548,koseki_bijou,4953,古石ビジュー,古石ビジュー,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000572,female_corrin_(fire_emblem),4786,カムイ（女性・FEif）,カムイ（女性・FEif） | カムイ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000574,ex-keine,4741,EX慧音,EX慧音,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000603,castorice_(honkai:_star_rail),4535,キャストリス（崩壊：スターレイル）,キャストリス（崩壊：スターレイル） | キャストリス,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000643,saotome_ranma_(female),4370,早乙女乱馬（女）,早乙女乱馬（女） | 早乙女乱馬,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000648,aubrey_(faraway)_(omori),4357,オーブリー（FARAWAY）,オーブリー（FARAWAY） | オーブリー,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000653,cu_chulainn_(lancer)_(fate),4311,クー・フーリン（ランサー）,クー・フーリン（ランサー） | クー・フーリン,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
I70-000704,oda_nobunaga_(fate),4037,織田信長（Fate）,織田信長（Fate） | 織田信長,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_STALE_SOURCE_EVIDENCE_ONLY,HIGH,explicit prior semantic/official-name curation note; no structural identity warnings,表示名は既に文脈・Alias・公式名等を用いて監修済み。残存flagは凍結sourceとの文字列不一致/非重複のみで、同名衝突・variant欠落・disambiguator欠落などのidentity警告がないため現表示を維持。,PROPOSED
