row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000028,konpaku_youmu_(ghost),22831,半霊（魂魄妖夢）,半霊（魂魄妖夢） | 半霊,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000039,trailblazer_(honkai:_star_rail),21076,開拓者（崩壊：スターレイル）,開拓者（崩壊：スターレイル） | 開拓者(スターレイル) | 開拓者,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000049,fujimaru_ritsuka_(male),19021,藤丸立香（男性）,藤丸立香（男性） | ぐだ男 | 藤丸立香,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000070,firefly_(honkai:_star_rail),16551,ホタル（崩壊：スターレイル）,ホタル（崩壊：スターレイル） | ホタル | ホタル(スターレイル) | ホタル(崩壊スターレイル),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000071,fujimaru_ritsuka_(female),16488,藤丸立香（女性）,藤丸立香（女性） | ぐだ子 | 藤丸立香,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000107,akemi_homura_(magical_girl),13205,暁美ほむら（魔法少女）,暁美ほむら（魔法少女） | 暁美ほむら,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000110,stelle_(honkai:_star_rail),13114,星（崩壊：スターレイル）,星（崩壊：スターレイル） | 星(スターレイル),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000115,abigail_williams_(fate),12709,アビゲイル・ウィリアムズ,アビゲイル・ウィリアムズ | アビゲイル | アビゲイル(Fate) | アビゲイル・ウィリアムズ(Fate),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000155,kaname_madoka_(magical_girl),10580,鹿目まどか（魔法少女）,鹿目まどか（魔法少女） | 鹿目まどか,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000205,tomoe_mami_(magical_girl),9168,巴マミ（魔法少女）,巴マミ（魔法少女） | 巴マミ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
