special_id,japanese_display,english_tag,candidate_kind,audited_subintent,visible_body_facet_id,visible_body_facet_ja,decision,reason
1,肛門,anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2,肛門を開いて見せる描写,spread anus,行為・接触,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
3,肛門が衣服などから覗く,anus peek,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
4,肛門露出を強調する俗語,bare anus,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
34,他人の尻を掴む行為,grabbing another's ass,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
145,直腸脱表現,anal prolapse,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
200,anal_prolapse のalias,rectal prolapse,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
644,肛門部分に開口部がある衣装,anus cutout,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
692,臀部に陰茎を当てる,penis on ass,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
710,肛門を手や物で隠す,covering anus,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
