row_id,canonical_tag,post_count,display_ja,search_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-003243,adventurer_(ff14),1035,光の戦士,光の戦士 | メテオ | ひろし(FF14),NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_DISPLAY_CONFLICTS_WITH_STRONG_JA_EVIDENCE,MEDIUM,current display differs from preserved strong Japanese evidence; post_count >= 500,高影響かつ現表示と強い日本語証拠が不一致。どちらを表示正本にするか外部確認。,PROPOSED
I70-003428,spicy_nun_(diva),983,Spicy Nun,Spicy Nun | スパイシーな修道女,FIX_DISPLAY,Spicy Nun（diva）,,LATIN_IDENTITY_PLUS_CANONICAL_DISAMBIGUATION,HIGH,identity-safe Latin/original display + canonical qualifier,英字固有名は保持し、欠けているcanonical識別子だけ表示へ追加。,PROPOSED
I70-004689,lokulo-chan_(lokulo_no_mawashimono),693,ろくろーん,ろくろーん,FIX_DISPLAY,ろくろーん（lokulo no mawashimono）,,SOURCE_LABEL_PLUS_CANONICAL_DISAMBIGUATION,HIGH,current display exactly matches strong Japanese evidence + canonical qualifier,強い日本語表示は保持し、同名/識別子欠落だけcanonical文脈を付与して解消。,PROPOSED
I70-004710,akemi_homura_(black_dress),688,暁美ほむら（黒ドレス）,暁美ほむら（黒ドレス）,FIX_BOTH,暁美ほむら（black dress）,暁美ほむら（黒ドレス） | ゴスほむ,TRUSTED_BASE_CANONICAL_VARIANT_WITH_SOURCE_SEARCH,HIGH,AUDIT_KEEP; strong preserved Japanese search evidence,現表示を断定せず検証済み本体名＋canonical variantへ。保存済み日本語証拠は検索語として維持。,PROPOSED
I70-004794,astolfo_(memories_at_trifas)_(fate),677,アストルフォ（トゥリファスでの思い出）,アストルフォ（トゥリファスでの思い出）,FIX_BOTH,アストルフォ（Fate）（memories at trifas）,アストルフォ（トゥリファスでの思い出） | トゥリファスでの思い出,TRUSTED_BASE_CANONICAL_VARIANT_WITH_SOURCE_SEARCH,HIGH,AUDIT_FIX_SEARCH; strong preserved Japanese search evidence,現表示を断定せず検証済み本体名＋canonical variantへ。保存済み日本語証拠は検索語として維持。,PROPOSED
I70-004935,kanna_(cookie),654,KNN姉貴,KNN姉貴,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_DISPLAY_CONFLICTS_WITH_STRONG_JA_EVIDENCE,MEDIUM,current display differs from preserved strong Japanese evidence; post_count >= 500,高影響かつ現表示と強い日本語証拠が不一致。どちらを表示正本にするか外部確認。,PROPOSED
I70-004959,futatsuiwa_mamizou_(human),651,二ッ岩マミゾウ（人間姿）,二ッ岩マミゾウ（人間姿）,FIX_BOTH,二ッ岩マミゾウ（human）,二ッ岩マミゾウ（人間姿） | 捕らぬ狸のディスガイザー,TRUSTED_BASE_CANONICAL_VARIANT_WITH_SOURCE_SEARCH,HIGH,DIRECT_SOURCE_SUPPORT; strong preserved Japanese search evidence,現表示を断定せず検証済み本体名＋canonical variantへ。保存済み日本語証拠は検索語として維持。,PROPOSED
I70-004962,hinase_(cookie),651,HNS姉貴,HNS姉貴,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_DISPLAY_CONFLICTS_WITH_STRONG_JA_EVIDENCE,MEDIUM,current display differs from preserved strong Japanese evidence; post_count >= 500,高影響かつ現表示と強い日本語証拠が不一致。どちらを表示正本にするか外部確認。,PROPOSED
I70-005241,agnes_tachyon_(lunatic_lab)_(umamusume),612,アグネスタキオン（Lunatic Lab）,アグネスタキオン（Lunatic Lab）,FIX_BOTH,アグネスタキオン（ウマ娘）（lunatic lab）,アグネスタキオン（Lunatic Lab） | 夏の陽は、青く凪ぐ,TRUSTED_BASE_CANONICAL_VARIANT_WITH_SOURCE_SEARCH,HIGH,AUDIT_FIX_SEARCH; strong preserved Japanese search evidence,現表示を断定せず検証済み本体名＋canonical variantへ。保存済み日本語証拠は検索語として維持。,PROPOSED
I70-005510,nea_(chihuri),578,Nea,Nea,FIX_DISPLAY,Nea（chihuri）,,LATIN_IDENTITY_PLUS_CANONICAL_DISAMBIGUATION,HIGH,identity-safe Latin/original display + canonical qualifier,英字固有名は保持し、欠けているcanonical識別子だけ表示へ追加。,PROPOSED
