row_id,canonical_tag,post_count,display_ja,search_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-001226,jessie_(pokemon),2558,ムサシ,ムサシ | ムサシ(ポケモン),KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-001234,diarmuid_ua_duibhne_(fate),2532,ディルムッド・オディナ,ディルムッド・オディナ | ディルムッド,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-001360,scorbunny,2367,ヒバニー,ヒバニー,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-001388,tiki_(fire_emblem),2327,チキ,チキ | チキ(ファイアーエムブレム),KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-001405,mari_(faraway)_(omori),2306,マリ（FARAWAY）,マリ | マリ(FARAWAY),KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-002565,fudo_yusei,1315,不動遊星,不動遊星,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-002628,kasuga_ayumu,1278,春日歩,春日歩 | 大阪さん | 大阪,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-002642,makoto_(blue_archive),1271,羽沼マコト,羽沼マコト | マコト,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-002709,uzuki_kou,1238,卯月コウ,卯月コウ,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
I70-003074,saya_(saya_no_uta),1095,沙耶,沙耶 | 沙耶の唄,KEEP,,,ACCEPTED_CLEAN_SAMPLE_SEMANTIC_KEEP,HIGH,batch030 full-row semantic review + existing Japanese/source/context evidence,Accepted clean sampleを個別確認。現行display/searchを維持してよい。,PROPOSED
