row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-023501,shirofuku_yukie,4,白福雪絵,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023502,shirogane_noel_(5th_costume),4,shirogane noel (5th costume),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023503,shisui_(kusuriya_no_hitorigoto),4,シスイ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023504,shiun'in_sora,4,紫雲院素良,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023505,shut_hell_(character),4,shut hell (character),,REVIEW_REQUIRED,machine-like or identity-mismatched wording
I70-023506,sophie_neuenmuller_(new_self),4,sophie neuenmuller (new self),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023507,soul_of_cinder,4,王たちの化身,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023508,spider-punk,4,スパイダーパンク,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023509,star_dream,4,星の夢,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023510,stefan_(fire_emblem),4,ソーンバルケ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023511,subject_67_(helltaker),4,件名67（ヘルテイカー）,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023512,sumi_(monobeno),4,すみ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023513,suoming_(wuthering_waves),4,锁暝,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023514,supergirl_(the_flash),4,supergirl (the flash),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023515,t._hawk,4,T・ホーク,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023516,tachibana_kyouka_(bishoujo),4,橘京花,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023517,tama_gotoh,4,タマ・ゴトー,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023518,therese_(granblue_fantasy),4,テレーズ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023519,thwomp,4,ドッスン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023520,tiramii,4,ティラミー,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023521,torricelli_(azur_lane),4,トリチェリ,トリチェリ(アズールレーン),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023522,trevor_c._belmont,4,ラルフ・ベルモンド,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023523,tsukasa_karin_(gwan-e),4,tsukasa karin (gwan-e),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023524,ultraman_z,4,ゼット(ウルトラマン),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023525,vanilla_(last_origin),4,バニラA1,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023526,vautour_bleu_(path_to_nowhere),4,vautour bleu (path to nowhere),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023527,vexen,4,ヴィクセン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023528,villhaze,4,ヴィルヘイズ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023529,vsk-94_(night_on_the_silver_bay)_(girls'_frontline),4,vsk-94 (night on the silver bay) (girls' frontline),,REVIEW_REQUIRED,machine-like or identity-mismatched wording
I70-023530,wanderer_(genshin_fes_2026)_(genshin_impact),4,wanderer (genshin fes 2026) (genshin impact),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023531,wanjirou,4,ワン次郎,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023532,watase_sanetoshi,4,渡瀬眞悧,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023533,yaruo,4,やる夫,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023534,yellow_toad_(mario),4,きいろキノピオ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023535,yotsuya_yumi,4,四谷ゆみ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023536,younger_sister_(childhood_friend_series),4,younger sister (childhood friend series),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023537,ys_aqua,4,イースアクア,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023538,yui_(real)_(princess_connect!),4,草野優衣,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023539,yuki-chan_(dagasi),4,yuki-chan (dagasi),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023540,yume_(grimgar),4,ユメ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023541,yuuki_riku,4,結城莉玖,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023542,zuma_unji,4,zuma unji,,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023543,aa-12_(the_sun_never_rises)_(girls'_frontline),4,aa-12 (the sun never rises) (girls' frontline),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023544,adagio_dazzle,4,アダージョ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023545,akatsuki_kojou,4,暁古城,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023546,alexis_leskinen,4,alexis leskinen,,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023547,alma_beoulve,4,アジョラ・グレバドス,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
