row_id,canonical_tag,display_ja,family_base_display_ja,audit_verdict,proposed_display_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-012726,rainbow_dash_(equestria_girls),レインボーダッシュ,レインボーダッシュ,FIX_DISPLAY,レインボーダッシュ（エクエストリア・ガールズ）,VARIANT_FRANCHISE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-013394,mari_(birthday)_(omori),マリ,マリ（OMORI）,FIX_DISPLAY,マリ（OMORI・誕生日）,VARIANT_EVENT_VISIBLE,MEDIUM,canonical qualifier + family base,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-013510,natsuiro_matsuri_(hololive_summer_2019),夏色まつり,夏色まつり,FIX_DISPLAY,夏色まつり（ホロサマ2019）,SOURCE_SEARCH_VARIANT_VISIBLE,HIGH,existing_search_ja,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-013684,nakiri_ayame_(hololive_summer_2019),百鬼あやめ,百鬼あやめ,FIX_DISPLAY,百鬼あやめ（ホロサマ2019）,SOURCE_SEARCH_VARIANT_VISIBLE,HIGH,existing_search_ja,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-014347,twilight_sparkle_(human),トワイライトスパークル,トワイライトスパークル,FIX_DISPLAY,トワイライトスパークル（人間）,VARIANT_QUALIFIER_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-014536,akai_haato_(hololive_summer_2019),赤井はあと,赤井はあと,FIX_DISPLAY,赤井はあと（ホロサマ2019）,SOURCE_SEARCH_VARIANT_VISIBLE,HIGH,existing_search_ja,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-014551,hatsune_miku_(blue_archive),初音ミク,初音ミク,FIX_DISPLAY,初音ミク（ブルーアーカイブ）,SOURCE_SEARCH_VARIANT_VISIBLE,HIGH,existing_candidate_ja,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-014616,kazamaki_matsuri_(female),風巻祭里,風巻祭里,FIX_DISPLAY,風巻祭里（女性）,VARIANT_QUALIFIER_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-015522,ace_trainer_(female)_(pokemon_bw),エリートトレーナー,エリートトレーナー,FIX_DISPLAY,エリートトレーナー（女性・ポケモンBW）,VARIANT_QUALIFIER_VISIBLE,MEDIUM,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-017103,gilles_de_rais_(saber)_(fate),ジル・ド・レェ,ジル・ド・レェ,FIX_DISPLAY,ジル・ド・レェ（セイバー）,VARIANT_CLASS_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
