identity_key,reviewed_class,pilot_review_status,review_reason
shoulder-to-shoulder,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
wet_fundoshi,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
cross-laced_pants,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
cross_tattoo,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
face-to-face,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
heart_bra,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
holding_polearm,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
tatsumaki_(cosplay),NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
ascot_between_breasts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
buttons,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
animal_feet,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
arrow_through_heart,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
corsage,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
baby_carry,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
shorts_under_shorts,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
saiyan_armor,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
face_to_pecs,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
tsuka_(handle),NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
crotch_plate,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
tied_sweater,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
blue_assault_visor,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
polka_dot_scarf,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
ribbon_in_mouth,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
holding_mirror,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
back_pain,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
extendable_limbs,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
muscular,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
stepping_stones,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
hakusen_academy_school_uniform,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
comically_large_ears,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
