row_id,canonical_tag,post_count,display_ja,search_ja,existing_display_ja,existing_search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-001253,meltryllis_(swimsuit_lancer)_(fate),2511,謎のアルターエゴ・Λ,謎のアルターエゴ・Λ | ラムダリリス | メルトリリス(水着),,メルトリリス(水着) | ラムダリリス | 水着メルト | 謎のアルターエゴ・Λ,公式形態名と通称を整理,VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:謎のアルターエゴ・Λ,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-003362,santa_claus,998,サンタクロース,サンタクロース,,サンタクロース,,DUPLICATE_DISPLAY_WITHIN_CATEGORY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:サンタクロース,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-003590,nitocris_(swimsuit_assassin)_(fate),936,ニトクリス（水着）,ニトクリス（水着）,,ニトクリス(水着),既存日本語候補と作品文脈を確認,DUPLICATE_DISPLAY_WITHIN_CATEGORY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:ニトクリス(水着),現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-003815,wario,872,ワリオ,ワリオ,,ワリオ,公式日本語名を確認,DUPLICATE_DISPLAY_WITHIN_CATEGORY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:ワリオ,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-004312,gotoh_hitori_(octopus),765,メンダコぼっち,メンダコぼっち | 後藤ひとり,,メンダコぼっち,,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:メンダコぼっち,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-004342,gotoh_hitori_(tsuchinoko),759,下北沢のツチノコ,下北沢のツチノコ | 後藤ひとり,,下北沢のツチノコ,,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:下北沢のツチノコ,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-004486,ringo-chan_(otokuyou),730,りんごちゃん,りんごちゃん | 白瀬いちる,,りんごちゃん | 白瀬いちる,,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:りんごちゃん,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-004860,baobhan_sith_(swimsuit_pretender)_(first_ascension)_(fate),666,ケット・クー・ミコケル,ケット・クー・ミコケル,,ケット・クー・ミコケル,,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:ケット・クー・ミコケル,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-005003,yae_sakura_(goushinnso_memento),645,御神装・勿忘,御神装・勿忘,,御神装・勿忘,,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:御神装・勿忘,現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
I70-005927,dog_(mixed_breed)_(kemono_friends),531,イエイヌ（けものフレンズ）,イエイヌ（けものフレンズ）,,イエイヌ(けものフレンズ),,DUPLICATE_DISPLAY_WITHIN_CATEGORY,KEEP,,,ACCEPTED_DISPLAY_DIRECTLY_SUPPORTED_BY_PRESERVED_JA_SOURCE,HIGH,existing_search_ja:イエイヌ(けものフレンズ),現在表示が保存済みの日本語display/search証拠と正規化後に完全一致。残るriskはsource-overlap等の機械ヒューリスティックとしてKEEP。,PROPOSED
