audit_id,intent_ja,domain,route,canonical_components,special_ids,recipe_prompt,generation_families,model_scope,ordering_or_weighting,why_not_single_canonical,source_evidence,review_status
C001,アナルビーズを使いながら拘束,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,anal beads + bondage,266 + 1897,"anal beads, bondage",IMPLEMENT_OBJECT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C002,アナルテールを付けたまま拘束,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,anal tail + bondage,267 + 1897,"anal tail, bondage",IMPLEMENT_OBJECT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C003,バットプラグを付けたまま拘束,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,butt plug + bondage,268 + 1897,"butt plug, bondage",IMPLEMENT_OBJECT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C004,肛門にバイブを入れた状態で拘束,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,vibrator in anus + bondage,264 + 1897,"vibrator in anus, bondage",IMPLEMENT_OBJECT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C005,ペギングしながら手錠,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,pegging + handcuffs,153 + 1828,"pegging, handcuffs",INSERTION_STRUCTURED + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C006,ペギングしながら目隠し,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,pegging + blindfold,153 + 1816,"pegging, blindfold",INSERTION_STRUCTURED + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C007,トリプルアナルで拘束,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,triple anal + bondage,154 + 1897,"triple anal, bondage",INSERTION_STRUCTURED + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C008,アナルビーズと開いた肛門を同時に見せる,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,anal beads + spread anus,266 + 2,"anal beads, spread anus",IMPLEMENT_OBJECT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C009,アナルテールと開いた肛門を同時に見せる,ANAL_RECTAL,COMBINATION_RECIPE_CANDIDATE,anal tail + spread anus,267 + 2,"anal tail, spread anus",IMPLEMENT_OBJECT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C010,尿道ビーズを入れた状態で拘束,URETHRAL,COMBINATION_RECIPE_CANDIDATE,urethral beads + bondage,209 + 1897,"urethral beads, bondage",INSERTION_STRUCTURED + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C011,尿道挿入しながら目隠し,URETHRAL,COMBINATION_RECIPE_CANDIDATE,urethral insertion + blindfold,211 + 1816,"urethral insertion, blindfold",INSERTION_STRUCTURED + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C012,尿道フィンガリングしながら手錠,URETHRAL,COMBINATION_RECIPE_CANDIDATE,urethral fingering + handcuffs,210 + 1828,"urethral fingering, handcuffs",INSERTION_STRUCTURED + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C013,尿道ペネトレーションしながら拘束,URETHRAL,COMBINATION_RECIPE_CANDIDATE,urethral penetration + bondage,212 + 1897,"urethral penetration, bondage",INSERTION_STRUCTURED + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
