row_id,canonical_tag,post_count,display_ja,family_base_canonical,family_base_display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-001556,baobhan_sith_(first_ascension)_(fate),2108,バーゲスト,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（第1再臨・Fate）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-006472,rimuru_tempest_(slime),479,リムル,rimuru_tempest,リムル＝テンペスト,FIX_DISPLAY,リムル＝テンペスト（スライム）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-007648,takamachi_nanoha_(exceed_mode),390,エクシードモード,takamachi_nanoha,高町なのは,FIX_DISPLAY,高町なのは（エクシードモード）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-007698,raising_heart_(accel_mode),387,アクセルモード,raising_heart,レイジングハート,FIX_DISPLAY,レイジングハート（アクセルモード）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-008852,nozomi_(kujibikido)_(blue_archive),325,シュポママ,nozomi_(blue_archive),橘ノゾミ,FIX_DISPLAY,橘ノゾミ（シュポママ）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-010704,okita_souji_(teal_haori_and_hakama)_(fate),258,浅葱の羽織袴,okita_souji_(fate),沖田総司,FIX_DISPLAY,沖田総司（浅葱の羽織袴）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-011122,cloud_strife_(midgard_seventh_high_school),245,御土我留市立第七高校,cloud_strife,クラウド・ストライフ,FIX_DISPLAY,クラウド・ストライフ（御土我留市立第七高校）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-012281,cloud_strife_(blue_dress),215,骨太のおなご,cloud_strife,クラウド・ストライフ,FIX_DISPLAY,クラウド・ストライフ（青ドレス）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-012669,magical_mirai_miku_(2020_summer),207,マジカルミライ2020,magical_mirai_miku,初音ミク（マジカルミライ）,FIX_DISPLAY,初音ミク（マジカルミライ2020・夏）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-015165,raising_heart_(device_mode)_(1st),164,デバイスモード,raising_heart,レイジングハート,FIX_DISPLAY,レイジングハート（デバイスモード・1st）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-015854,carmilla_(swimsuit_rider)_(third_ascension)_(fate),154,カーミラ(水着),carmilla_(summertime_mistress)_(fate),サマータイム・ミストレス,FIX_DISPLAY,カーミラ（水着・第3再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-015892,raising_heart_(device_mode),154,デバイスモード,raising_heart,レイジングハート,FIX_DISPLAY,レイジングハート（デバイスモード）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-015950,magical_mirai_miku_(2020_winter),153,マジカルミライ2020,magical_mirai_miku,初音ミク（マジカルミライ）,FIX_DISPLAY,初音ミク（マジカルミライ2020・冬）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-016539,raising_heart_(exceed_mode),146,エクシードモード,raising_heart,レイジングハート,FIX_DISPLAY,レイジングハート（エクシードモード）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-016835,baobhan_sith_(exhibition_attire)_(fate),142,英霊博装,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（Fate）（英霊博装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-016954,marie_antoinette_(swimsuit_caster)_(second_ascension)_(fate),141,マリー・アントワネット(水着),marie_antoinette_(third_ascension)_(fate),marie antoinette (third ascension) (fate),FIX_DISPLAY,マリー・アントワネット（水着・第2再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-018804,jeanne_d'arc_(mystery_treasure)_(fate),123,ミステリー・トレジャー,jeanne_d'arc_(fate),ジャンヌ・ダルク（Fate）,FIX_DISPLAY,ジャンヌ・ダルク（Fate）（ミステリー・トレジャー）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-018949,serika_(waitress)_(blue_archive),122,柴関ラーメン,serika_(blue_archive),黒見セリカ,FIX_DISPLAY,黒見セリカ（柴関ラーメン）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-018969,aesc_(exhibition_attire)_(fate),121,英霊博装,aesc_(fate),トネリコ,FIX_DISPLAY,トネリコ（英霊博装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-019476,jungle_pocket_(tobasuze_hot_summer!)_(umamusume),117,トばすぜホットサマー!,jungle_pocket_(umamusume),ジャングルポケット（ウマ娘）,FIX_DISPLAY,ジャングルポケット（ウマ娘）（トばすぜホットサマー!）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-019588,hatsune_miku_(ribbon_girl),116,リボンガール,hatsune_miku,初音ミク,FIX_DISPLAY,初音ミク（リボンガール）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-019756,mordred_(formal_dress)_(fate),115,英霊正装,mordred_(fate),モードレッド（Fate）,FIX_DISPLAY,モードレッド（Fate）（英霊正装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-020065,zack_fair_(midgard_seventh_high_school),113,御土我留市立第七高校,zack_fair,ザックス・フェア,FIX_DISPLAY,ザックス・フェア（御土我留市立第七高校）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-020915,raising_heart_(exelion_mode),107,エクセリオンモード,raising_heart,レイジングハート,FIX_DISPLAY,レイジングハート（エクセリオンモード）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-021319,katsushika_hokusai_(festival_outfit)_(fate),104,英霊祭装,katsushika_hokusai_(fate),葛飾北斎,FIX_DISPLAY,葛飾北斎（英霊祭装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-021644,marie_antoinette_(swimsuit_caster)_(first_ascension)_(fate),102,マリー・アントワネット(水着),marie_antoinette_(third_ascension)_(fate),marie antoinette (third ascension) (fate),FIX_DISPLAY,マリー・アントワネット（水着・第1再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-022909,hikari_(kujibikido)_(blue_archive),94,シュポママ,hikari_(blue_archive),橘ヒカリ,FIX_DISPLAY,橘ヒカリ（シュポママ）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-023589,hatsune_miku_(magician),90,マジシャン,hatsune_miku,初音ミク,FIX_DISPLAY,初音ミク（マジシャン）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-023743,baobhan_sith_(celebratory_attire)_(fate),89,英霊祝装,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（Fate）（英霊祝装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-023833,lilith_(over_the_same_sky)_(fate),89,英霊星行,lilith_(fate),リリス,FIX_DISPLAY,リリス（英霊星行）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-024572,fine_(fortune_princess)_(futagohime),85,プロミネンスドレスアップ,fine_(futagohime),ファイン,FIX_DISPLAY,ファイン（プロミネンスドレスアップ）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-024641,manhattan_cafe_(tobasuze_hot_summer!)_(umamusume),85,トばすぜホットサマー!,manhattan_cafe_(umamusume),マンハッタンカフェ（ウマ娘）,FIX_DISPLAY,マンハッタンカフェ（ウマ娘）（トばすぜホットサマー!）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-025478,hoshimachi_suisei_(micomet),81,miComet新衣装,hoshimachi_suisei,星街すいせい,FIX_DISPLAY,星街すいせい（miComet新衣装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-026183,illyasviel_von_einzbern_(swimsuit_archer)_(third_ascension),78,イリヤスフィール(水着),illyasviel_von_einzbern,イリヤスフィール・フォン・アインツベルン,FIX_DISPLAY,イリヤスフィール（水着・第3再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-026209,lilith_(celebratory_attire)_(fate),78,英霊祝装,lilith_(fate),リリス,FIX_DISPLAY,リリス（英霊祝装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
