pilot_ordinal,canonical,lanes,current_display_state,current_search_state,post_count_or_reference,priority,proposed_display_ja,proposed_search_ja,proposal_source,risk_class,evidence_note,review_state,issue32_overlap,second_pass_review,qa_scope,qa_result,false_approval,prior_proposed_display_ja,audit_display_ja,audit_scope,independent_evidence,root_cause,audit_result,prior_review_state
1,sex_toy,general_or_proxy;statistical_recommendation;semantic_support;manual_auxiliary_or_proxy,missing,covered,64835,P0,大人のおもちゃ,大人のおもちゃ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=大人のおもちゃ; local exact Japanese asset=大人のおもちゃ,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,大人のおもちゃ,大人のおもちゃ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
2,object_insertion,general_or_proxy;statistical_recommendation;semantic_support;manual_auxiliary_or_proxy,missing,missing,32420,P0,物体挿入,物体挿入|異物挿入,LOCAL_EXACT,HIGH,local exact Japanese asset=异物插入|異物挿入,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,物体挿入,物体挿入,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
3,anal_object_insertion,general_or_proxy;statistical_recommendation;semantic_support;manual_auxiliary_or_proxy,missing,missing,17552,P0,肛門への物体挿入,肛門への物体挿入|肛門物体挿入,LOCAL_EXACT,HIGH,local exact Japanese asset=肛门物体插入,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,肛門への物体挿入,肛門への物体挿入,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
4,1girl,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,7773799,P0,1人の女の子,おんなのこ|ガール|ガールズイラスト|女の子,EXISTING_SEARCH,MEDIUM,runtime search_by_canonical=おんなのこ|ガール|ガールズイラスト|女の子; local exact Japanese asset=おんなのこ|ガール|ガールズイラスト|一人の女の子|女,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,1人の女の子,1人の女の子,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
5,breasts,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,4542658,P0,乳房,いいおっぱいの日|おっぱい|おっぱいがいっぱい|このおっぱいで聖女は無理でしょ|どや乳|なのぱい|オッパイ|ダイヤモンドバスト|極上の乳|胸がぱんぱかぱーん,EXISTING_SEARCH,HIGH,runtime search_by_canonical=いいおっぱいの日|おっぱい|おっぱいがいっぱい|このおっぱいで聖女は無理でしょ|どや乳; local exact Japanese asset=いいおっぱいの日|おっぱい|おっぱいがいっぱい|このおっぱいで聖女は無理でしょ|どや乳; Special prompt reference=乳房,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,乳房,乳房,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
6,ass,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,706729,P0,臀部,いいおしりの日|おしり|お尻|かわいいおしり|けつね|ねじ込みたい尻|プリケツ|揉みしだきたい尻|撫で回したいお尻|撫で回したい尻|極上の尻|顔を埋めたい尻|魅惑の尻,EXISTING_SEARCH,HIGH,runtime search_by_canonical=いいおしりの日|おしり|お尻|かわいいおしり|けつね; local exact Japanese asset=いいおしりの日|おしり|お尻|かわいいおしり|けつね; Special prompt reference=臀部,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,臀部,臀部,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
7,tail,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,1113447,P0,尻尾,しっぽ|もふりたい尻尾,EXISTING_SEARCH,HIGH,runtime search_by_canonical=しっぽ|もふりたい尻尾; local exact Japanese asset=しっぽ|もふりたい尻尾|尻尾|尾巴,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,尻尾,尻尾,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
8,blush,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,3823437,P0,頬染め,頬染め,EXISTING_SEARCH,LOW,runtime search_by_canonical=頬染め; local exact Japanese asset=紅潮|脸红|赤面|頬染め,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,頬染め,頬染め,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
9,heart_butt_plug,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,missing,92,P0,ハート型アナルプラグ,ハート型アナルプラグ,GENERATED,HIGH,canonical composition only; human review required; wording retained as REVIEW pending human disambiguation,REVIEW,NO,PASS,HIGH_SECOND_PASS,PASS,NO,ハート型アナルプラグ,ハート型アナルプラグ,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
10,jewel_butt_plug,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,664,P0,ジュエリーアナルプラグ,じゅえりーあなるぷらぐ|ジュエリーアナルプラグ,EXISTING_SEARCH,LOW,runtime search_by_canonical=じゅえりーあなるぷらぐ|ジュエリーアナルプラグ; local exact Japanese asset=じゅえりーあなるぷらぐ|ジュエリーアナルプラグ,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,ジュエリーアナルプラグ,ジュエリーアナルプラグ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
