family,home_copyright,expected_rows,evidence_url,evidence_type,root_review,scope_note
dc,dc_comics,11,https://www.dc.com/characters,DC_OFFICIAL_CHARACTER_ROSTER,PASS,"DC official character index establishes canonical DC character scope; qualifier-to-canonical root normalization manually reviewed"
dq11,dragon_quest_xi,11,https://www.dragonquest.jp/news/detail/2294/,SQUARE_ENIX_OFFICIAL_TITLE_AND_CHARACTER_CONTEXT,PASS,"Official Dragon Quest XI update explicitly exposes protagonist and party Character material; qualifier-to-canonical root normalization manually reviewed"
dqb2,dragon_quest_builders_2,9,https://www.dragonquest.jp/portal/news_detail/sq/4253/,SQUARE_ENIX_OFFICIAL_TITLE_CONTEXT,PASS,"Official Dragon Quest portal identifies Dragon Quest Builders 2 and its official title site; qualifier-to-canonical root normalization manually reviewed"
ff7,final_fantasy_vii,9,https://www.jp.square-enix.com/ffvii_rebirth/news/information/17919.html,SQUARE_ENIX_OFFICIAL_FF7_CHARACTER_CONTEXT,PASS,"Square Enix official FFVII Remake-series Character material plus accepted canonical FFVII root; qualifier-to-canonical root normalization manually reviewed"
hades,hades_(series),9,https://www.supergiantgames.com/,SUPERGIANT_OFFICIAL_HADES_SERIES_CONTEXT,PASS,"Supergiant official games surface contains Hades and Hades II under one creator franchise; qualifier-to-canonical series root normalization manually reviewed"
sekaiju_4,sekaiju_no_meikyuu_4,7,https://www.atlus.co.jp/title-archive/sq4/,ATLUS_OFFICIAL_TITLE_CONTEXT,PASS,"ATLUS official 世界樹の迷宮IV title archive; qualifier-to-canonical title root normalization manually reviewed"
dota,dota_2,7,https://www.dota2.com/heroes,VALVE_OFFICIAL_DOTA2_HERO_ROSTER,PASS,"Official Dota 2 hero roster; qualifier-to-canonical root normalization manually reviewed"
gunvolt,azure_striker_gunvolt,6,https://gunvolt.com/TE/,INTI_CREATES_OFFICIAL_GUNVOLT_SERIES_CONTEXT,PASS,"Official Gunvolt trilogy site establishes the Gunvolt series lineage; qualifier-to-canonical root normalization manually reviewed"
overlord,overlord_(maruyama),5,https://overlord-anime.com/_season1/character.html,OVERLORD_OFFICIAL_CHARACTER_ROSTER,PASS,"Official Overlord Character page lists multiple batch characters; qualifier-to-canonical root normalization manually reviewed"
expedition_33,clair_obscur:_expedition_33,5,https://www.expedition33.com/overview/characters,SANDFALL_OFFICIAL_CHARACTER_ROSTER,PASS,"Official Clair Obscur: Expedition 33 Character page; qualifier-to-canonical root normalization manually reviewed"
suzumiya_haruhi,suzumiya_haruhi_no_yuuutsu,5,https://store.kadokawa.co.jp/shop/series/series00074005,KADOKAWA_OFFICIAL_SERIES_CONTEXT,PASS,"KADOKAWA officially groups the Haruhi works as 『涼宮ハルヒ』 series; accepted canonical Copyright root manually reviewed"
arcane,arcane:_league_of_legends,7,https://www.arcane.com/en-us/,RIOT_OFFICIAL_ARCANE_CHARACTER_CONTEXT,PASS,"Official Arcane site exposes Arcane Character roster/context; nested alternate-timeline variant remains unresolved"
