row_id,canonical_tag,post_count,display_ja,search_ja,audit_bucket,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-044438,yaegashi_nan,4598,八重樫南,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044440,mizuki_hitoshi,4382,みずきひとし,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044443,tani_takeshi,3932,谷たけし,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044467,mitarashi_neko,2910,みたらしねこ,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044479,minaba_hideo,2671,皆葉英夫,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044480,kirisawa_juuzou,2669,桐沢十三,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044488,namori,2559,なもり,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044542,sayori_(neko_works),2060,さより（NEKO WORKs）,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044560,tomose_shunsaku,1951,トモセシュンサク,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044577,mochi_au_lait,1840,もちオーレ,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
