candidate_family,canonical,disposition,expected_status,expected_path,expected_confidence,new_status,new_path,new_confidence,reason_ja,evidence_url,review_note
batch034_water_identity,water_balloon,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_boiler,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_bottle,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_censor,KEEP,PROPOSED,STYLE_QUALITY_META,MEDIUM,PROPOSED,STYLE_QUALITY_META,MEDIUM,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_cooler,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_dragon,KEEP,PROPOSED,LIVING_NATURE/CREATURE,HIGH,PROPOSED,LIVING_NATURE/CREATURE,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_dress,KEEP,PROPOSED,CLOTHING,HIGH,PROPOSED,CLOTHING,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_drop,UNRESOLVED,PROPOSED,LIVING_NATURE,HIGH,UNRESOLVED,,LOW,水滴という非生物の液体特徴を表す。受理済みtaxonomyに水・液体の自然特徴用genreがなく、LIVING_NATUREへの押し込みはしない。,,Residual review: no defensible current node; preserve as unresolved.
batch034_water_identity,water_drop_hair_ornament,RECLASSIFY,PROPOSED,HAIR_FACE,HIGH,PROPOSED,CLOTHING/ACCESSORY,HIGH,髪飾りという装飾品のidentityから衣装・アクセサリーへ分類する。,,Taxonomy HAIR_FACE boundary routes hair ornaments to clothing accessories.
batch034_water_identity,water_elemental,KEEP,PROPOSED,LIVING_NATURE/CREATURE,HIGH,PROPOSED,LIVING_NATURE/CREATURE,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_fight,KEEP,PROPOSED,ACTION_CONTACT,HIGH,PROPOSED,ACTION_CONTACT,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_gun,KEEP,PROPOSED,OBJECT_PROP/WEAPON,HIGH,PROPOSED,OBJECT_PROP/WEAPON,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_lily_flower,KEEP,PROPOSED,LIVING_NATURE/PLANT,HIGH,PROPOSED,LIVING_NATURE/PLANT,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_masturbation,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
