row_id,canonical_tag,post_count,display_ja,family_base_canonical,family_base_display_ja,canonical_variant_qualifier,existing_candidate_ja,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-008503,tatsugiri_(droopy),343,たれたすがた,tatsugiri,シャリタツ,droopy,たれたすがた,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,シャリタツ（droopy）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008545,kirito_(sao-alo),340,キリト（sao-alo）,kirito,桐ヶ谷和人,sao-alo,キリト（sao-alo）,VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,桐ヶ谷和人（sao-alo）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008602,tamamo_no_mae_(third_ascension)_(fate),337,Tamamo No Mae（3番目の昇天）（運命）,tamamo_no_mae_(fate),玉藻の前（Fate）,third ascension,Tamamo No Mae（3番目の昇天）（運命）,VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,玉藻の前（Fate）（third ascension）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008707,zeta_(summer)_(granblue_fantasy),332,ゼータ（夏）（グランブルーファンタジー）,zeta_(granblue_fantasy),ゼタ,summer,ゼータ（夏）（グランブルーファンタジー）,VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,ゼタ（summer）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008723,nangong_yu_(rhapsody's_muse),331,ラプソディ・ミューズ,nangong_yu,南宮羽,rhapsody's muse,ラプソディ・ミューズ,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,南宮羽（rhapsody's muse）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008805,jean_(gunnhildr's_legacy)_(genshin_impact),327,琴(古恩希尔德的传承),jean_(genshin_impact),ジン（原神）,gunnhildr's legacy,琴(古恩希尔德的传承),VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,ジン（原神）（gunnhildr's legacy）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008861,america_(female)_(hetalia),324,エミリー・ジョーンズ,america_(hetalia),アメリカ,female,エミリー・ジョーンズ,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,アメリカ（female）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008938,lycanroc_(dusk),321,たそがれのすがた,lycanroc,ルガルガン,dusk,たそがれのすがた,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,ルガルガン（dusk）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008954,biwa_hayahide_(pf._winning_equation...)_(umamusume),320,ビワハヤヒデ(pf.Victory_formula...),biwa_hayahide_(umamusume),ビワハヤヒデ,pf. winning equation...,ビワハヤヒデ(pf.Victory_formula...),RAW_TAG_SYNTAX_IN_DISPLAY,FIX_DISPLAY,ビワハヤヒデ（pf. winning equation...）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008979,elizabeth_bathory_(second_ascension)_(fate),319,CCC48赤ランサー,elizabeth_bathory_(fate),エリザベート・バートリー（Fate）,second ascension,CCC48赤ランサー,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,エリザベート・バートリー（Fate）（second ascension）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-008987,mona_(pact_of_stars_and_moon)_(genshin_impact),319,莫娜(星与月之约),mona_(genshin_impact),モナ（原神）,pact of stars and moon,莫娜(星与月之约),VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,モナ（原神）（pact of stars and moon）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-010556,sandrone_(the_final_gift)_(genshin_impact),263,桑多涅(最后的遗产),sandrone_(genshin_impact),サンドローネ（原神）,the final gift,桑多涅(最后的遗产),VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,サンドローネ（原神）（the final gift）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-010628,yakumo_ran_(fox),261,ヤクモ・ラン（フォックス）,yakumo_ran,八雲藍,fox,ヤクモ・ラン（フォックス）,VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,八雲藍（fox）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-010647,minior_(red_core),260,あかいろのコア,minior,メテノ,red core,あかいろのコア,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,メテノ（red core）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-010781,jade_leech_(eel),255,マーメイド・フィン,jade_leech,ジェイド・リーチ,eel,マーメイド・フィン,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,ジェイド・リーチ（eel）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
I70-010786,kei_(amas)_(blue_archive),255,ケイ(AMAS),kei_(blue_archive),天童ケイ,amas,ケイ(AMAS),VARIANT_DISPLAY_MISSING_BASE_IDENTITY,FIX_DISPLAY,天童ケイ（amas）,,ACCEPTED_BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; current Japanese variant raw candidate only,Accepted判定済みでもvariant側の日本語はraw candidateのみ。基準キャラ日本語名を保持し、未検証の衣装/形態訳はDanbooru canonical識別子へ戻してidentityを失わない。,PROPOSED
