row_id,canonical_tag,identity_verdict,display_verdict,search_verdict,ranking_verdict,scope_verdict,relation_note,confidence,evidence_refs,proposed_display,proposed_search,reviewer_note,second_review_required
I70-035899,fate/grand_order,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-035956,mario_(series),PASS,PASS,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,スーパーマリオ is a narrower franchise/title surface; verify whether umbrella-search behavior is intentional.,true
I70-036077,tengen_toppa_gurren_lagann,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-000318,kasodani_kyouko,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-036621,char's_counterattack,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-003022,harmony_(pokemon),REVIEW,REVIEW,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,WEB:Pokémon LEGENDS Z-A official site lists the Japanese protagonist generically as 主人公; INTERNAL:canonical/search/aliases,,セイカ | Harmony,Work title Pokémon LEGENDS Z-A is not a character alias. Japanese display セイカ/Harmony identity mapping needs independent verification.,true
I70-008766,milk_(cookie),PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,牛乳(クッキー☆) | 牛乳の牛乳,"性癖を露見・共有するための道具 is descriptive prose, not an identity alias.",true
I70-039873,makai_gacha_wa_kyou_mo_shibui,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-018981,byerley_turk_(umamusume),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Qualified Umamusume identity looks coherent; keep ranking review because Japanese name is shared with the historical horse name.,false
I70-043287,labyrinth_of_touhou_2,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-000456,cyrene_(demiurge)_(honkai:_star_rail),REVIEW,FAIL_QUALIFIER,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,キュレネ（デミウルゴス）,,Current display mixes 崩壊 and raw demiurge; current search already contains the intended Japanese form. Exact variant identity still needs verification.,true
I70-001157,luciana_de_montefio,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,WEB:Zenless Zone Zero official agent page names the agent ルーシー and gives full name ルシアーナ・オクシスィース・テオドロ・デ・モンテフィーノ,,,Official display ルーシー and full-name search surface are both supported.,false
I70-000210,kaito_(vocaloid),PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-000467,ereshkigal_(fate),PASS,PASS,FAIL_DUPLICATE_NOISE,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,エレシュキガル（Fate） | エレシュキガル,Full-width and ASCII-parenthesis Fate variants are formatting duplicates.,true
