row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file
I70-035896,fate_(series),Copyright,407263,Fateシリーズ,,manual chat curation selected high-confidence Japanese copyright title,copyright_final_internal_external_split_batch064.csv
I70-035904,honkai_(series),Copyright,188054,崩壊,,manual chat curation selected high-confidence Japanese copyright title,copyright_final_internal_external_split_batch064.csv
I70-035934,idolmaster_(classic),Copyright,44384,アイドルマスター,,manual chat curation selected high-confidence Japanese copyright title,copyright_final_internal_external_split_batch064.csv
I70-035995,utdr_(toby_fox),Copyright,20287,utdr (toby fox),,copyright title not uniquely resolved; manual verification required,copyright_batch004_01.csv
I70-036010,nier_(series),Copyright,16936,ニーア,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036017,touhou_(pc-98),Copyright,16614,東方旧作,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036024,alien_stage,Copyright,15542,异形舞台,,copyright title not uniquely resolved; manual verification required,copyright_batch004_01.csv
I70-036028,mahou_shoujo_no_majo_saiban,Copyright,14889,魔法少女ノ魔女裁判,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036032,dc_comics,Copyright,14643,DCコミック,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036033,lucky_star,Copyright,14632,らき☆すた,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036035,neptune_(series),Copyright,14429,ネプテューヌ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036038,saibou_shinkyoku,Copyright,14001,さぼしき,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036049,cho_kaguya-hime!,Copyright,13201,超かぐや姫!,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036055,eiyuu_densetsu,Copyright,12902,英雄伝説,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036059,monster_hunter_(series),Copyright,12409,モンスターハンター,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036062,umineko_no_naku_koro_ni,Copyright,12267,うみねこのなく頃に,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036064,cookie_(touhou),Copyright,12161,クッキー☆,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036072,super_smash_bros.,Copyright,11691,スマッシュブラザーズ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036080,atelier_(series),Copyright,10890,アトリエ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036086,heaven_burns_red,Copyright,10446,ヘブバン,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036087,axis_powers_hetalia,Copyright,10399,にょたりあ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036088,girls'_frontline_2:_exilium,Copyright,10364,ドルフロ2,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036091,pokemon_masters_ex,Copyright,10265,ポケマス,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036100,oshi_no_ko,Copyright,9405,【推しの子】,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036101,undertale,Copyright,9284,あんだーてーる,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036102,steins;gate,Copyright,9250,シュタインズゲート,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036104,a.i._voice,Copyright,9205,アイボス,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036106,panty_&_stocking_with_garterbelt,Copyright,9093,パンスト,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036108,street_fighter_6,Copyright,9058,スト6,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036109,kobayashi-san_chi_no_maidragon,Copyright,9032,メイドラゴン,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036110,aikatsu!_(series),Copyright,9018,アイカツ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036116,punishing:_gray_raven,Copyright,8680,パニグレ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036118,love_live!_superstar!!,Copyright,8540,ハロー!!!ラブライブ!,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036121,stellive,Copyright,8453,stellive,,copyright title not uniquely resolved; manual verification required,copyright_batch004_02.csv
I70-036124,twisted_wonderland,Copyright,8375,ツイステ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036125,gundam_gquuuuuux,Copyright,8358,機動戦士ガンダムジークアクス,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036127,the_hundred_line_-last_defense_academy-,Copyright,8310,ハンドラ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036130,synthesizer_v,Copyright,8176,シンセサイザーv,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036212,hellaverse,Copyright,5762,hellaverse,,copyright title not uniquely resolved; manual verification required,copyright_batch005_01.csv
I70-036226,devil_may_cry_(series),Copyright,5489,デビルメイクライ,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036233,osomatsu_(series),Copyright,5396,おそ松さん/くん,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036237,touqi_guaitan,Copyright,5287,头七,,copyright title not uniquely resolved; manual verification required,copyright_batch005_02.csv
I70-036245,atelier_ryza,Copyright,5156,ライザのアトリエ,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036269,the_legend_of_zelda:_ocarina_of_time,Copyright,4770,ゼルダの伝説_時のオカリナ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036274,cyberpunk:_edgerunners_1,Copyright,4647,cyberpunk: edgerunners 1,,copyright title not uniquely resolved; manual verification required,copyright_batch005_03.csv
I70-044438,yaegashi_nan,Artist,4598,八重樫南,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036278,my_little_pony,Copyright,4586,マイリトルポニー,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036284,my_little_pony:_friendship_is_magic,Copyright,4473,マイリトルポニー,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-044440,mizuki_hitoshi,Artist,4382,みずきひとし,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036290,zeta_gundam,Copyright,4371,機動戦士Ζガンダム,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036303,avatar_legends,Copyright,4222,降世神通,,copyright title not uniquely resolved; manual verification required,copyright_batch005_04.csv
I70-036305,ambience_synesthesia,Copyright,4173,音律联觉,,copyright title not uniquely resolved; manual verification required,copyright_batch005_04.csv
I70-000706,t-head_trainer_(umamusume),Character,4017,Tヘッドトレーナー（ウマ娘）,Tヘッドトレーナー（ウマ娘） | Tヘッド | Tヘッドトレーナー,AI監修：日本語ファン呼称の表記揺れ確認候補,character_review_final_batch061.csv
I70-044443,tani_takeshi,Artist,3932,谷たけし,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-044447,pageratta,Artist,3572,ペゲラッタ,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036364,yu-gi-oh!_5d's,Copyright,3442,遊戯王5D's,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
