row_id,canonical_tag,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-036121,stellive,8453,stellive,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,STELLIVE,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://stellive.me/,Official StelLive site repeatedly uses STELLIVE in branding/news; normalize lowercase fallback to official capitalization.,PROPOSED
I70-036212,hellaverse,5762,hellaverse,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,HELLAVERSE,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.youtube.com/watch?v=FQ2q0Q9frKE,Vivziepop verified creator channel officially uses HELLAVERSE UPDATE; preserve creator's official umbrella label.,PROPOSED
I70-036237,touqi_guaitan,5287,头七,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,头七 TOUQI,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.steampowered.com/app/3686930/_TOUQI/?l=japanese,Official distribution identifies developer 橙光游戏 and Japanese storefront title 头七 TOUQI; current short Chinese display is incomplete.,PROPOSED
I70-036274,cyberpunk:_edgerunners_1,4647,cyberpunk: edgerunners 1,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Cyberpunk: Edgerunners,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.netflix.com/jp/title/81054853?s=i&vlang=ja,Netflix Japan official title for the first work is Cyberpunk: Edgerunners; suffix _1 is a Danbooru discriminator and not part of the displayed title.,PROPOSED
I70-036303,avatar_legends,4222,降世神通,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Avatar Legends,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.avatarstudiosofficial.com/,Avatar Studios official site uses Avatar Legends as the franchise/timeline umbrella; replace unsupported Chinese surface with official identity.,PROPOSED
I70-036439,vedal_ai,2818,ネウロ様,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Vedal AI,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://vedal.ai/,Creator-owned official site brands the project/developer identity as Vedal AI; current ネウロ様 points to a different entity.,PROPOSED
I70-036443,sana_channel,2779,ヌォンタート,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,さなちゃんねる,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://shop.natorisana.com/products/sanachannel-bousaigoods,名取さな Official Shop explicitly uses さなちゃんねる; current display is unrelated noise.,PROPOSED
I70-036467,street_fighter_iv_(series),2636,ウル4,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,ストリートファイターIVシリーズ,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.capcom.co.jp/support/faq/platform_ps3_usf4_0035844.html,Capcom support explicitly calls the lineage 「ストリートファイターIV」シリーズ; current ウル4 narrows the umbrella to one member.,PROPOSED
I70-037549,bayonetta_1,641,ベヨネッタ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.nintendo.com/jp/bayonetta/1-2/index.html,Nintendo official first-game page uses ベヨネッタ; current display is exact.,PROPOSED
I70-037563,resident_evil_3_(remake),635,BIOHAZARD RE:3,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.residentevil.com/re3/,Capcom official product site identifies the remake; existing Japanese-market display BIOHAZARD RE:3 is identity-safe and established.,PROPOSED
I70-037877,catherine_(game),499,キャサリン,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.atlus.co.jp/title-archive/cathy/,Atlus official title archive uses キャサリン for the 2011 game; current display is exact.,PROPOSED
I70-037917,maimai_(game),485,maimai,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://maimai.sega.jp/,SEGA official maimai site uses maimai exactly; preserve official stylization.,PROPOSED
I70-037957,world_of_warships,474,World of Warships,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://worldofwarships.asia/ja/,Wargaming official Japanese site uses World of Warships; current display is exact.,PROPOSED
I70-037960,18trip,472,18TRIP,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://18trip.jp/,Official site states title 18TRIP（エイティーントリップ）; current display 18TRIP is exact.,PROPOSED
I70-037980,national_basketball_association,466,NBA,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.nba.com/,NBA official site uses NBA as the primary brand identity; current display is exact and identity-safe.,PROPOSED
