runtime_identity,final_sexual_intent,final_review_status,review_reason,mapping_quality,reviewer_action
above-cleavage_cutout,CONTEXTUAL,HUMAN_REVIEWED,cleavage opening is ordinary clothing design and can also be sexualized exposure,VALID,RESOLVED
adult_baby,CONTEXTUAL,HUMAN_REVIEWED,adult-baby roleplay can be nonsexual identity play or sexualized roleplay,VALID,RESOLVED
ass_focus,CONTEXTUAL,HUMAN_REVIEWED,anatomical focus can support neutral study or pose and erotic display,VALID,RESOLVED
backboob,CONTEXTUAL,HUMAN_REVIEWED,breast exposure has ordinary anatomy and sexualized uses,VALID,RESOLVED
bandaids_on_nipples,CONTEXTUAL,HUMAN_REVIEWED,nipple covering can be medical or modesty-related and erotic,VALID,RESOLVED
bikini_bottom_aside,CONTEXTUAL,HUMAN_REVIEWED,moving swimwear aside is clothing exposure with ordinary and erotic contexts,VALID,RESOLVED
bisexual_female,CONTEXTUAL,HUMAN_REVIEWED,orientation identity can be nonsexual character information and sexual context,VALID,RESOLVED
breast_cutouts,CONTEXTUAL,HUMAN_REVIEWED,breast cutout clothing can be fashion or erotic exposure,VALID,RESOLVED
breast_slip,CONTEXTUAL,HUMAN_REVIEWED,accidental or incidental exposure and erotic display are both natural uses,VALID,RESOLVED
breastfeeding,CONTEXTUAL,HUMAN_REVIEWED,infant feeding is ordinary while sexualized lactation is also a natural use,VALID,RESOLVED
breasts,CONTEXTUAL,HUMAN_REVIEWED,breasts denote anatomy in ordinary contexts and sexual display contexts,VALID,RESOLVED
breasts_out,CONTEXTUAL,HUMAN_REVIEWED,breast exposure occurs in ordinary body depiction and erotic contexts,VALID,RESOLVED
catheter,CONTEXTUAL,HUMAN_REVIEWED,catheter is medical equipment with a substantial fetish use,VALID,RESOLVED
censored_nipples,CONTEXTUAL,HUMAN_REVIEWED,nipple censoring is a general moderation state and an erotic depiction,VALID,RESOLVED
cleavage_cutout,CONTEXTUAL,HUMAN_REVIEWED,cleavage cutout is fashion exposure that also has erotic use,VALID,RESOLVED
cleave_gag,SEXUAL,HUMAN_REVIEWED,specialized cleave gag denotes an intrinsically fetish-oriented gag concept,VALID,RESOLVED
clitoris_slip,SEXUAL,HUMAN_REVIEWED,visible clitoris exposure is an intrinsically explicit sexual body state,VALID,RESOLVED
clothed_female_nude_female,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
clothed_female_nude_male,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
clothed_male_nude_female,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
clothed_male_nude_male,CONTEXTUAL,HUMAN_REVIEWED,mixed clothing and nudity composition can be artistic or erotic,VALID,RESOLVED
convenient_tentacle,SEXUAL,HUMAN_REVIEWED,convenient tentacle is a sexualized genital-censoring trope,VALID,RESOLVED
covering_breasts,CONTEXTUAL,HUMAN_REVIEWED,covering breasts is ordinary modesty or erotic concealment,VALID,RESOLVED
covering_crotch,CONTEXTUAL,HUMAN_REVIEWED,covering the crotch is ordinary modesty or erotic concealment,VALID,RESOLVED
cow_girl,CONTEXTUAL,HUMAN_REVIEWED,cowgirl denotes a nonsexual riding role and a sexual position,VALID,RESOLVED
crossdressing,CONTEXTUAL,HUMAN_REVIEWED,crossdressing is a general identity or clothing concept with sexual uses,VALID,RESOLVED
crotch_stomping,CONTEXTUAL,HUMAN_REVIEWED,crotch violence has nonsexual assault and sexual fetish contexts,VALID,RESOLVED
cum_overflow,SEXUAL,HUMAN_REVIEWED,cum overflow denotes an explicit sexual fluid state,VALID,RESOLVED
dark_penis,SEXUAL,HUMAN_REVIEWED,canonical concept is explicit penis anatomy rather than a general color concept,VALID,RESOLVED
defecating_self,CONTEXTUAL,HUMAN_REVIEWED,loss of bowel control can be nonsexual accident or fetish depiction,VALID,RESOLVED
downblouse,CONTEXTUAL,HUMAN_REVIEWED,downblouse exposure has voyeuristic erotic and incidental clothing contexts,VALID,RESOLVED
drinking_pee,SEXUAL,HUMAN_REVIEWED,urine drinking is an explicit sexual fetish act,VALID,RESOLVED
egg_laying,CONTEXTUAL,HUMAN_REVIEWED,egg laying is biological reproduction and also a sexualized fantasy use,VALID,RESOLVED
extra_penises,SEXUAL,HUMAN_REVIEWED,multiple penis anatomy is an explicit sexual body concept,VALID,RESOLVED
forced_partners,SEXUAL,HUMAN_REVIEWED,forced partners denotes coerced sexual pairing and assault,VALID,RESOLVED
foreskin_pull,CONTEXTUAL,HUMAN_REVIEWED,foreskin manipulation has medical or hygiene and sexual contexts,VALID,RESOLVED
futanari,CONTEXTUAL,HUMAN_REVIEWED,futanari is a character or body trope with both nonsexual and sexual uses,VALID,RESOLVED
garter_belt,NON_SEXUAL,HUMAN_REVIEWED,garter belt is ordinary clothing despite erotic styling,VALID,RESOLVED
genderswap,NON_SEXUAL,HUMAN_REVIEWED,genderswap is a general transformation or story concept,VALID,RESOLVED
groping,SEXUAL,HUMAN_REVIEWED,groping denotes sexual touching or sexual assault,VALID,RESOLVED
have_to_pee,NON_SEXUAL,HUMAN_REVIEWED,need to urinate is an ordinary bodily state,VALID,RESOLVED
hitachi_magic_wand,SEXUAL,HUMAN_REVIEWED,Hitachi magic wand is a sexual-use device,VALID,RESOLVED
horse_penis,SEXUAL,HUMAN_REVIEWED,horse penis is explicit sexual anatomy,VALID,RESOLVED
huge_nipples,CONTEXTUAL,HUMAN_REVIEWED,nipple anatomy can be neutral appearance or sexual display,VALID,RESOLVED
interlocked_mars_and_venus_symbols,SEXUAL,HUMAN_REVIEWED,interlocked sex symbols depict sexual union,VALID,RESOLVED
invisible_penis,SEXUAL,HUMAN_REVIEWED,invisible penis remains an explicit sexual anatomy concept,VALID,RESOLVED
josou_seme,SEXUAL,HUMAN_REVIEWED,josou seme denotes a sexual role and interaction,VALID,RESOLVED
knot_gag,CONTEXTUAL,HUMAN_REVIEWED,gag restraint has safety or performance and sexual bondage contexts,VALID,RESOLVED
kyoudaidon,SEXUAL,HUMAN_REVIEWED,kyoudaidon is an intrinsically incest-sex concept,VALID,RESOLVED
lactation,CONTEXTUAL,HUMAN_REVIEWED,lactation is ordinary physiology and also sexualized,VALID,RESOLVED
leaf_censor,CONTEXTUAL,HUMAN_REVIEWED,leaf censorship can be artistic moderation or sexual nudity concealment,VALID,RESOLVED
loli,CONTEXTUAL,HUMAN_REVIEWED,Re-reviewed after correction authority: loli denotes a character type with nonsexual and sexualized uses,VALID,RESOLVED
male_underwear_peek,CONTEXTUAL,HUMAN_REVIEWED,underwear exposure can be incidental or erotic,VALID,RESOLVED
mamono_with_mamono,SEXUAL,HUMAN_REVIEWED,monster people sex is an explicit sexual interaction,VALID,RESOLVED
mesugaki,CONTEXTUAL,HUMAN_REVIEWED,bratty-girl archetype can be nonsexual characterization or sexualized,VALID,RESOLVED
mind_control,CONTEXTUAL,HUMAN_REVIEWED,mind control is a general fiction device with sexual coercion uses,VALID,RESOLVED
nipple_indents,CONTEXTUAL,HUMAN_REVIEWED,nipple anatomy can be neutral appearance or sexual display,VALID,RESOLVED
nipple_rings,CONTEXTUAL,HUMAN_REVIEWED,nipple jewelry has ordinary body-art and sexual-fetish uses,VALID,RESOLVED
nipple_torture,SEXUAL,HUMAN_REVIEWED,nipple torture denotes an explicit sexual-fetish act,VALID,RESOLVED
no_male_underwear,CONTEXTUAL,HUMAN_REVIEWED,underwear absence is ordinary clothing state and erotic exposure,VALID,RESOLVED
no_panties,CONTEXTUAL,HUMAN_REVIEWED,underwear absence is ordinary clothing state and erotic exposure,VALID,RESOLVED
omanko_mark,CONTEXTUAL,HUMAN_REVIEWED,genital symbol can be art or sexualized iconography,VALID,RESOLVED
one_breast_out,CONTEXTUAL,HUMAN_REVIEWED,partial breast exposure has ordinary and erotic contexts,VALID,RESOLVED
open_shirt,CONTEXTUAL,HUMAN_REVIEWED,open shirt is ordinary clothing and can be erotic exposure,VALID,RESOLVED
over_the_mouth_gag,CONTEXTUAL,HUMAN_REVIEWED,gag restraint has safety or performance and sexual bondage contexts,VALID,RESOLVED
over_the_nose_gag,CONTEXTUAL,HUMAN_REVIEWED,gag restraint has safety or performance and sexual bondage contexts,VALID,RESOLVED
pantyhose_pull,CONTEXTUAL,HUMAN_REVIEWED,pantyhose removal is ordinary clothing action and erotic exposure,VALID,RESOLVED
pantyshot,SEXUAL,HUMAN_REVIEWED,pantyshot denotes intentional underwear exposure with sexualized meaning,VALID,RESOLVED
pearl_thong,CONTEXTUAL,HUMAN_REVIEWED,thong clothing can be fashion and sexual-fetish display,VALID,RESOLVED
pectoral_cleavage,CONTEXTUAL,HUMAN_REVIEWED,cleavage anatomy can be neutral appearance or erotic display,VALID,RESOLVED
