row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000456,cyrene_(demiurge)_(honkai:_star_rail),5745,キュレネ（デミウルゴス）,キュレネ（デミウルゴス） | キュレネ,AI監修：最新ストーリー由来の形態ラベル確認候補,FIX_BOTH,キュレネ（崩壊）（demiurge）,,REVIEW_TRUSTED_BASE_NO_STRONG_JA,HIGH,AUDIT_FIX_DISPLAY; canonical variant; no strong Japanese evidence,未検証の日本語variant表示を検証済み本体名＋canonical variantへ戻し、裏付けのない日本語検索語を除去。,PROPOSED
I70-000706,t-head_trainer_(umamusume),4017,Tヘッドトレーナー（ウマ娘）,Tヘッドトレーナー（ウマ娘） | Tヘッド | Tヘッドトレーナー,AI監修：日本語ファン呼称の表記揺れ確認候補,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-000796,cyrene_(philia093)_(honkai:_star_rail),3659,キュレネ（PhiLia093）,キュレネ（PhiLia093） | キュレネ,AI監修：最新ストーリー由来の形態ラベル確認候補,FIX_BOTH,キュレネ（崩壊）（philia093）,,REVIEW_TRUSTED_BASE_NO_STRONG_JA,HIGH,AUDIT_FIX_DISPLAY; canonical variant; no strong Japanese evidence,未検証の日本語variant表示を検証済み本体名＋canonical variantへ戻し、裏付けのない日本語検索語を除去。,PROPOSED
I70-000917,p-head_producer,3271,Pヘッドプロデューサー,Pヘッドプロデューサー | Pヘッド,AI監修：日本語ファン呼称の表記揺れ確認候補,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-001035,nangong_yu,2951,南宮羽,南宮羽,日本語公式表記の最終確認が必要,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-001080,ju_fufu,2863,橘福福,橘福福 | チー・フーフー,日本語公式表記の確認が必要,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-001100,non-human_admiral_(kancolle),2838,人外提督,人外提督 | 非人間提督,ファン呼称系タグのため日本語定着名を要確認,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-001150,evernight_(honkai:_star_rail),2720,長夜月,長夜月,日本語公式名が新規要素のため最終確認が必要,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-001157,luciana_de_montefio,2701,ルーシー,ルーシー | ルシアーナ・デ・モンテフィオ,フルネーム日本語表記に揺れがあるため要確認,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
I70-001185,canari_(pokemon),2640,カナリィ,カナリィ,新規作品由来の日本語公式表記を要確認,NEEDS_EXTERNAL_CHECK,,,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,MEDIUM,no trusted family-base resolution; post_count >= 500,高影響かつ日本語表示の確証不足。破棄・断定せず外部確認。,PROPOSED
