row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-030706,mukku,Character,62,REAL_3D,HIGH,Character identity is primarily a puppet-led live-action real-3D identity; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-030973,imai_asami,Character,61,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-030998,keanu_reeves,Character,61,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-031013,lebron_james,Character,61,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-031134,solidaritygaming,Character,61,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-031183,yabushima_akane,Character,61,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-031296,gomora,Character,60,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-031324,hondo_kaede,Character,60,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-031340,jack_sparrow,Character,60,REAL_3D,HIGH,Character identity belongs to a live-action-led property rather than the target 2D fictional or virtual scope; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-031344,jigsaw_(character),Character,60,REAL_3D,HIGH,Character identity belongs to a live-action-led property rather than the target 2D fictional or virtual scope; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-031498,robocop_(character),Character,60,REAL_3D,HIGH,Character identity belongs to a live-action-led property rather than the target 2D fictional or virtual scope; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-032918,haneame,Character,56,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-032982,komazawa_noi_(real),Character,56,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033113,sabrina_carpenter,Character,56,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033140,shiina_ringo,Character,56,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
