cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005512,sananana_(cookie),Character,578,REVIEWED_UNRESOLVED,No trustworthy official Japanese character-name source established,,Cookie-derived identity remains insufficiently sourced for HIGH-confidence official Japanese naming.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005517,otomachi_una_(talkex),Character,577,REVIEWED_UNRESOLVED,Variant-specific official naming not safely established,,Talk Ex discriminator needs source evidence tying this exact character tag scope to an official Japanese name.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005529,arima_senne,Character,575,REVIEWED_UNRESOLVED,No trustworthy first-party identity source established,,Current Japanese rendering could not be confirmed to HIGH confidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005530,bloom_poetry_(shining_nikki),Character,575,REVIEWED_UNRESOLVED,Japanese localized character name not safely verified,,English current value retained unresolved rather than inventing a Japanese localization.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005545,koizumi_itsuki_(female),Character,574,REVIEWED_UNRESOLVED,Gender-swapped derivative naming lacks authoritative character-name evidence,,Do not promote a fan/derivative rendering without official confirmation.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005553,loona_(helluva_boss),Character,573,REVIEWED_UNRESOLVED,No official Japanese localization source established,,Fictional character remains in scope but current katakana cannot be promoted without official Japanese evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005555,luo_binghe,Character,573,REVIEWED_UNRESOLVED,Official Japanese character rendering not safely verified,,Chinese canonical identity is clear but Japanese official rendering requires stronger evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005574,vei_(vtuber),Character,571,REVIEWED_UNRESOLVED,VTuber alias mapping not supported by a sufficiently authoritative source,,VTuber is in scope; current Veibae/Vei mapping left unresolved rather than guessed.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005576,k/da_all_out_evelynn,Character,570,REVIEWED_UNRESOLVED,Skin/form-specific official Japanese naming not safely verified,,Needs official Riot Japanese evidence for exact ALL OUT form naming.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005577,kama_(assassin)_(second_ascension)_(fate),Character,570,REVIEWED_UNRESOLVED,Ascension-specific official Japanese naming not safely verified,,Exact second-ascension discriminator needs first-party Fate evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005578,pan_yinhu,Character,570,REVIEWED_UNRESOLVED,Official Japanese character rendering not established,,Do not infer Japanese reading from Chinese characters.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005616,windsong_(reverse:1999),Character,566,REVIEWED_UNRESOLVED,Localized Japanese name and alias relationship not safely verified,,Current 北方哨歌 / スヴィスティ mapping needs authoritative Japanese localization evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-040497,19_tian,Copyright,141,REVIEWED_UNRESOLVED,Work identity and official Japanese title remain ambiguous,,No safe HIGH-confidence Japanese title established in a reasonable pass.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-040548,kengan_(series),Copyright,139,REVIEWED_UNRESOLVED,Umbrella-series display scope not safely verified,,ケンガン may be usable but exact umbrella title treatment requires stronger official evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-040640,detective_pikachu_(movie),Copyright,134,REVIEWED_UNRESOLVED,Fictional mixed-media property kept in scope; exact movie-title evidence not completed,,Not REAL_3D auto-skip because Pokémon is a fictional mixed-media property; defer semantic title verdict.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-040662,stardust_project,Copyright,134,REVIEWED_UNRESOLVED,Official identity/title source not safely established,,Current StarDust星云社 cannot be promoted without trustworthy first-party evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-040775,demons_roots,Copyright,128,REVIEWED_UNRESOLVED,Official title source not safely established in this pass,,Current Latin title is plausible but lacks required authoritative evidence for HIGH confidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-040787,pixiv_fantasia_1,Copyright,128,REVIEWED_UNRESOLVED,Exact first-event title and numbering not safely verified,,Do not collapse or invent series numbering without authoritative pixiv evidence.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-072455,kiyuzuki_satoko,Artist,89,REVIEWED_UNRESOLVED,Official profile or publisher credit not established in this pass,,Artist remains in scope; current Japanese name not changed without qualifying official credit.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-073750,ishiwatari_daisuke,Artist,85,REVIEWED_UNRESOLVED,Search found secondary coverage but not a qualifying first-party credit,,Identity is plausible but protocol requires official profile/credit for Japanese artist rendering.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-073942,toboso_yana,Artist,85,REVIEWED_UNRESOLVED,Qualifying official profile/credit not established in this pass,,Current 枢やな left unresolved rather than relying on unsourced familiarity.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-075190,hanamizawa_q-tarou,Artist,81,REVIEWED_UNRESOLVED,Only secondary/retail evidence surfaced in reasonable pass,,Protocol requires official profile/credit; do not promote secondary-source spelling alone.
cycle-0005,5,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-075314,nishiwaki_yuuri,Artist,81,REVIEWED_UNRESOLVED,Official profile or credit not safely established,,Do not infer or normalize artist reading without authoritative evidence.
