audit_id,intent_ja,domain,canonical_components,decision,reason
C001,アナルビーズを使いながら拘束,ANAL_RECTAL,anal beads + bondage,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C002,アナルテールを付けたまま拘束,ANAL_RECTAL,anal tail + bondage,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C003,バットプラグを付けたまま拘束,ANAL_RECTAL,butt plug + bondage,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C004,肛門にバイブを入れた状態で拘束,ANAL_RECTAL,vibrator in anus + bondage,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C005,ペギングしながら手錠,ANAL_RECTAL,pegging + handcuffs,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C006,ペギングしながら目隠し,ANAL_RECTAL,pegging + blindfold,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C007,トリプルアナルで拘束,ANAL_RECTAL,triple anal + bondage,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C010,尿道ビーズを入れた状態で拘束,URETHRAL,urethral beads + bondage,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C011,尿道挿入しながら目隠し,URETHRAL,urethral insertion + blindfold,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
C012,尿道フィンガリングしながら手錠,URETHRAL,urethral fingering + handcuffs,REJECT_TRIVIAL_INDEPENDENT_STACK,Phase C must not become an unbounded Cartesian prompt-combination library; independent restraint/visibility/accessory stacking remains discoverable by selecting tags separately.
