row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,related_copyright_top1,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-001667,bloop_(gawr_gura),1971,Bloop,Bloop,日本語表示名・表記の確定に追加確認が必要,hololive,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-001789,dokibird,1864,Dokibird,Dokibird,日本語表示名・表記の確定に追加確認が必要,indie_virtual_youtuber,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-002777,friend_(nanashi_mumei),1207,Friend,Friend | 友達,AI監修：固有キャラクター名の公式表記確認が必要,hololive,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-002792,chalky_(zenless_zone_zero),1202,Chalky,Chalky,AI監修：公式日本語名の根拠が不足しているため原綴りを保持,zenless_zone_zero,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003352,miss_cloud,1001,Miss Cloud,Miss Cloud | ミスクラウド,要確認,kantai_collection,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003358,mewo,999,Mewo,Mewo | ミャオ,要確認,omori,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003614,fallenshadow,929,Fallenshadow,Fallenshadow,日本語定着表記の追加確認が必要,indie_virtual_youtuber,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003715,mr._plantegg_(omori),898,Mr. Plantegg,Mr. Plantegg,日本語定着表記を確認できず原語保持,omori,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003754,angelina_the_mellow_wish_(arknights),887,Angelina the Mellow Wish,Angelina the Mellow Wish,日本語公式名を確認できず原語保持,,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003765,demon_king_of_salvation,885,Demon King of Salvation,Demon King of Salvation,日本語公式訳名の追加確認が必要,omniscient_reader's_viewpoint,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003934,vedal987,841,Vedal,Vedal,日本語定着表記の追加確認が必要,vedal_ai,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-003983,ariane_yeong,832,Ariane Yeong,Ariane Yeong,日本語公式表記を確認できず原語保持,signalis,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-004044,marina_(fear_&_hunger),819,Marina,Marina | マリナ,日本語版での公式表記を追加確認,fear_&_hunger_(series),NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-004168,ao-chan_(ninomae_ina'nis),794,Ao-chan,Ao-chan | あおちゃん,公式日本語表記を追加確認,hololive,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-004183,sunny_(shadow_slave),792,Sunny,Sunny,日本語版・邦訳での確立した表記を追加確認,shadow_slave,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-004363,jailbird_(nerissa_ravencroft),755,Jailbird,Jailbird | ネリッサ・レイヴンクロフト,ファン呼称の日本語表示を追加確認,hololive,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-004388,limealicious,750,Limealicious,Limealicious | Laimu,VTuber名の日本語表示を追加確認,vinesauce,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-004426,bao_the_whale,741,Bao the Whale,Bao the Whale | Bao,VTuber名の表示表記を追加確認,indie_virtual_youtuber,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005505,apricot_the_lich,578,Apricot the Lich,Apricot the Lich,要確認,vshojo,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005508,kronie_(ouro_kronii),578,Kronie,Kronie,要確認,hololive,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005530,bloom_poetry_(shining_nikki),575,Bloom Poetry,Bloom Poetry,要確認,nikki_(series),NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005574,vei_(vtuber),571,Veibae,Veibae | Vei,要確認,vshojo,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005631,gentilhomme_usher,564,Gentilhomme Usher,Gentilhomme Usher,要確認,genshin_impact,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005679,shyrei_faolan,559,Shyrei Faolan,Shyrei Faolan,要確認,indie_virtual_youtuber,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005684,nyon_(randal's_friends),558,Nyon,Nyon,要確認,randal's_friends,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005770,jingburger,548,Jingburger,Jingburger,要確認,isegye_idol,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005826,hasumi_souji_(eroe),541,Hasumi Souji,Hasumi Souji,要確認,seitenkango._shinyuu_to,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005838,matara_kan,540,Matara Kan,Matara Kan,要確認,vshojo,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
