proposed_special_id,canonical_tag,display_ja,search_ja,ja_status,ja_note
2789,clothes_lift,服を持ち上げる,服をめくる|服上げ|服を持ち上げる,PROPOSED_HUMAN,
2790,skindentation,肌の食い込み,皮膚のへこみ|肌のへこみ|食い込み,PROPOSED_HUMAN,
2791,thick_thighs,太い太もも,むっちり太もも|太ももが太い|極太もも,PROPOSED_HUMAN,
2792,ass_visible_through_thighs,太ももの間から見える尻,太ももの間の尻|尻が太ももの間から見える,PROPOSED_HUMAN,
2793,clothes_pull,服を引っ張る,服を引く|服引っ張り,PROPOSED_HUMAN,
2794,thigh_gap,太ももの隙間,サイギャップ|太ももの間の隙間,PROPOSED_HUMAN,
2795,lifting_own_clothes,自分の服を持ち上げる,自分で服をめくる|自分の服をめくる,PROPOSED_HUMAN,
2796,breast_press,胸を押し付ける,胸押し付け|乳房を押し付ける,PROPOSED_HUMAN,
2797,breasts_apart,離れた胸,胸が離れている|左右に開いた胸,PROPOSED_HUMAN,
2798,micro_bikini,マイクロビキニ,極小ビキニ,PROPOSED_HUMAN,
2799,blood_on_face,顔に血,血まみれの顔|顔の血,PROPOSED_HUMAN,
2800,mole_on_breast,胸のほくろ,乳房のほくろ,PROPOSED_HUMAN,
2801,bikini_top_only,ビキニトップのみ,上だけビキニ|ビキニ上だけ,PROPOSED_HUMAN,
2802,bouncing_breasts,揺れる胸,胸揺れ|乳房が揺れる,PROPOSED_HUMAN,
2803,breasts_squeezed_together,寄せられた胸,胸を寄せる|乳房を寄せる|胸が押し合う,PROPOSED_HUMAN,
2804,huge_ass,巨大な尻,巨尻|大きな尻|巨大なお尻,PROPOSED_HUMAN,
2805,hand_between_own_legs,自分の脚の間に手,自分の太ももの間に手|脚の間に手,PROPOSED_HUMAN,
2806,blood_on_clothes,服に血,血まみれの服|血の付いた服|血染めの服,PROPOSED_HUMAN,
2807,arm_under_breasts,胸の下に腕,乳房の下に腕,PROPOSED_HUMAN,
2808,midriff_peek,腹部チラ見せ,お腹チラ|腹チラ|腹部ちら見え,PROPOSED_HUMAN,
2809,pov_crotch,一人称視点の自分の股間,股間POV|一人称視点の股間|自分の股間が見えるPOV,PROPOSED_HUMAN,ユーザー確認を受けて意味が直接伝わる表示名へ変更
2810,crotch_seam,股間の縫い目,クロッチシーム|股部分の縫い目,PROPOSED_HUMAN,
2811,highleg_panties,ハイレグショーツ,ハイレグパンティ|ハイレグ下着,PROPOSED_HUMAN,
2812,hanging_breasts,垂れ下がる胸,垂れた胸|下垂した胸|垂れ乳,PROPOSED_HUMAN,
2813,panties_around_one_leg,片脚に引っかかったパンティ,片脚にパンティ|パンティを片脚に掛ける,PROPOSED_HUMAN,
2814,highleg_one-piece_swimsuit,ハイレグワンピース水着,ハイレグ競泳水着|ハイレグ一体型水着,PROPOSED_HUMAN,
2815,highleg_bikini,ハイレグビキニ,ハイカットビキニ,PROPOSED_HUMAN,
2816,clothes_between_breasts,胸の間に服,乳房の間に服|胸の谷間に服,PROPOSED_HUMAN,
2817,micro_shorts,マイクロショーツ,極小ショートパンツ|超短いショーツ,PROPOSED_HUMAN,
2818,blood_on_hand,手に血,血まみれの手|手の血|指に血,PROPOSED_HUMAN,
2819,gigantic_breasts,超巨大な胸,超巨乳|巨大乳房|極端に大きな胸,PROPOSED_HUMAN,
2820,arms_under_breasts,胸の下に両腕,乳房の下に両腕,PROPOSED_HUMAN,
2821,breast_rest,胸を乗せる,胸乗せ|乳房を乗せる|胸を置く,PROPOSED_HUMAN,支持物などに胸を乗せる関係として提案
2822,blood_from_mouth,口から出血,口から血|口元から出血,PROPOSED_HUMAN,吐血とは分離
