row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-036143,pixiv_fantasia,7486,pixivファンタジア,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_PROJECT_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036144,apex_legends,7360,Apexモバイル,FIX_BOTH,エーペックスレジェンズ,Apex Legends | APEX,REMOVE_SPINOFF_AS_DISPLAY,HIGH,https://www.ea.com/ja/games/apex-legends/apex-legends,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036146,warship_girls_r,7323,戦艦少女,FIX_DISPLAY,戦艦少女R,,COPYRIGHT_FULL_TITLE,HIGH,existing_candidate_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036147,gundam_seed,7213,ガンダムSEED,FIX_BOTH,機動戦士ガンダムSEED,ガンダムSEED,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036148,inazuma_eleven_go,7184,イナGO,FIX_BOTH,イナズマイレブンGO,イナGO | イナゴ,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036151,little_busters!,7146,リトバス,FIX_BOTH,リトルバスターズ！,リトバス,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036152,library_of_ruina,7114,ライブラリーオブルイナ,FIX_BOTH,ライブラリー・オブ・ルイナ,ラオル,COPYRIGHT_READABLE_JA_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036153,kamitsubaki_studio,7052,神椿スタジオ,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_BRAND_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036154,watashi_ga_motenai_no_wa_dou_kangaetemo_omaera_ga_warui!,7041,わたモテ,FIX_BOTH,私がモテないのはどう考えてもお前らが悪い！,わたモテ | ワタモテ,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036155,kaguya-sama_wa_kokurasetai_~tensai-tachi_no_renai_zunousen~,7024,かぐや様,FIX_BOTH,かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,かぐや様 | かぐや様は告らせたい,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036157,dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka,6881,ダンまち,FIX_BOTH,ダンジョンに出会いを求めるのは間違っているだろうか,ダンまち,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036161,angel_beats!,6781,エンジェルビーツ,FIX_BOTH,Angel Beats!,エンジェルビーツ | エンジェルビーツ！,COPYRIGHT_OFFICIAL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036164,tekken,6772,鉄拳,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_FRANCHISE_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036165,animal_crossing,6710,あつまれどうぶつの森,FIX_BOTH,どうぶつの森,あつ森 | あつまれどうぶつの森,REMOVE_INSTALLMENT_AS_SERIES_DISPLAY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036166,pripara,6710,ダンプリ,FIX_DISPLAY,プリパラ,,REMOVE_SPINOFF_AS_DISPLAY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036168,black_rock_shooter,6654,ブラック★ロックシューター,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036170,fullmetal_alchemist,6607,ハガレン,FIX_BOTH,鋼の錬金術師,ハガレン,COPYRIGHT_FULL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
