slice_index,row_id,canonical_tag,category,post_count,review_result,review_note
1,I70-043732,studio_tri4,Copyright,58,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
2,I70-044290,licca-chan_(franchise),Copyright,51,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
3,I70-001942,yamamura_sadako,Character,1739,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
4,I70-007294,satou_yaniko,Character,415,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
5,I70-008022,xenomorph,Character,368,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
6,I70-008467,jesus,Character,344,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
7,I70-009010,souchou,Character,318,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
8,I70-009358,buddha,Character,303,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
9,I70-009980,predator_(character),Character,282,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
10,I70-010660,asimov_(spindlesong),Character,259,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
11,I70-010787,kirarazaka_marina_(older),Character,255,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
12,I70-011134,kuze_shizuka_(older),Character,245,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
13,I70-011273,saaya_(kirome),Character,241,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
14,I70-011574,duckman,Character,232,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
15,I70-011784,ottilie_(spindlesong),Character,227,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
16,I70-011885,zhongli_quan_(all_wishes_come_true!),Character,225,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
17,I70-012627,shiratama_(shiranami_ramune),Character,208,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
18,I70-012846,ghostface,Character,203,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
19,I70-012919,moria_luluka_(civilian),Character,202,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
20,I70-012988,yamanashi_haruka,Character,201,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
21,I70-013553,lv_dongbin_(all_wishes_come_true!),Character,190,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
22,I70-014691,oosaki_(ooe),Character,171,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
23,I70-015487,jean_(si_land),Character,159,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
24,I70-016456,protagonist_halo,Character,147,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
25,I70-016829,yahan_(lamp159568),Character,143,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
26,I70-017386,king_zahab_(si_land),Character,136,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
27,I70-017678,facehugger,Character,133,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
28,I70-017782,azarashii_(igarashi_rika),Character,132,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
29,I70-018052,ms._hades,Character,130,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
30,I70-019949,ariake_(ooe),Character,113,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
31,I70-020060,virgin_mary,Character,113,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
32,I70-020473,shinbashi_(ooe),Character,110,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
33,I70-021864,simon_jackson,Character,101,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
34,I70-021926,eclipse_shadow,Character,100,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
35,I70-022233,he_mingshuo,Character,98,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
36,I70-022637,souei_yuyu,Character,96,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
37,I70-022888,etsushimaru_yakuko,Character,94,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
38,I70-023288,megohime_(nashi),Character,92,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
39,I70-023308,piapi_ufo,Character,92,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
40,I70-024144,arihara_yuuna_(hanauna),Character,87,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
41,I70-024428,mikado_akira_(real)_(cho_kaguya-hime!),Character,86,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
42,I70-024948,tsukisita_mika_(sakamata),Character,84,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
43,I70-025381,tama_tamara_tabasa_(manjuverunu),Character,82,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
44,I70-025513,koropokkuru,Character,81,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
45,I70-025551,nikaido_reika,Character,81,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
46,I70-025666,divine_heart_makina_(character),Character,80,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
47,I70-026197,kin_(senukin),Character,78,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
48,I70-026443,kamogumi_(kanna_yanagi),Character,77,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
49,I70-026509,rudy_(rariatto),Character,77,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
50,I70-026775,shimon_(shimotsuma),Character,76,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
51,I70-026797,tiona_(rumie),Character,76,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
52,I70-027047,xingye_(xing),Character,75,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
53,I70-027283,tanaka_keiko_(ado),Character,74,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
