identity_key,candidate_cluster,candidate_state,human_intent,review_note
iced_latte_with_breast_milk_(meme),GENERAL_ONLY|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
lightning_crotch_(meme),GENERAL_ONLY|(none)|ANATOMY,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
panties_day,GENERAL_ONLY|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
your_bra_strap_is_showing_(meme),GENERAL_ONLY|(none)|EXPOSURE_INTIMATE,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
kono_lolicon_domome,GENERAL_ONLY|(none)|RELATIONSHIP_ROLE,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
precure_netorare_(meme),GENERAL_ONLY|(none)|RELATIONSHIP_ROLE,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
siscon,GENERAL_ONLY|(none)|RELATIONSHIP_ROLE,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
rope_train,GENERAL_ONLY|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
sazae-san_food_gag_(meme),GENERAL_ONLY|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
whip_the_wimp_girl!!_(project_sekai),GENERAL_ONLY|(none)|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
bikini_day,GENERAL_ONLY|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
male_swimwear_challenge,GENERAL_ONLY|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
playboy_pokemon,GENERAL_ONLY|(none)|SEXUALIZED_CLOTHING,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
implied_prostitution,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPLICIT_SEX,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
mixed-sex_bathing,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPLICIT_SEX,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
adjusting_collar,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
clothes_gag,GENERAL_ONLY|ACTION_CONTACT/INTERACTION|RESTRAINT_FETISH,FULL_REVIEW_HIGH_RISK_HUNDRED_ROW_V100,,
