source_id,source_tier,source_kind,title,model_or_tool_scope,version_or_revision,snapshot_or_retrieved_date,url_or_ref,allowed_claim_scope,evidence_level_cap,note
SRC_ILXL_V1_MODEL_CARD,TIER_A,MODEL_CARD,Illustrious XL v1.0 model card,Illustrious XL v1.0,v1.0,retrieved 2026-09-06,https://huggingface.co/OnomaAIResearch/Illustrious-XL-v1.0,upstream lineage/base-model context only; MUST NOT define WAI v17 cutoff,SOURCE_VERIFIED,Secondary lineage source for WAI v17; not target-model cutoff truth
SRC_ILXL_EARLY_MODEL_CARD,TIER_A,MODEL_CARD,Illustrious XL early release model card,Illustrious XL early release,v0,retrieved 2026-09-06,https://huggingface.co/OnomaAIResearch/Illustrious-xl-early-release-v0,composition-tag conflict guidance; base settings,SOURCE_VERIFIED,Model/version-specific
SRC_NOOBAI_V1_MODEL_CARD,TIER_A,MODEL_CARD,NoobAI XL 1.0 model card,NoobAI XL 1.0,1.0,retrieved 2026-09-06,https://huggingface.co/Laxhar/noobai-XL-1.0,NoobAI v1.0 only; do not apply cutoff to v1.1,SOURCE_VERIFIED,Historical version source only
SRC_DANBOORU_TAG_HELP,TIER_A,DANBOORU_WIKI,Danbooru help:tags,Danbooru,current,retrieved 2026-09-06,https://danbooru.donmai.us/wiki_pages/help:tags,alias/implication semantics; canonical tagging rules,SOURCE_VERIFIED,Development semantics
SRC_DANBOORU_API_HELP,TIER_A,DANBOORU_API,Danbooru help:api related tags,Danbooru,current,retrieved 2026-09-06,https://danbooru.donmai.us/wiki_pages/help:api,related_tag API existence,SOURCE_VERIFIED,Cross-check only; Stage6 math unchanged
SRC_TAGCOMPLETE_NEO,TIER_A,TOOL_DOC,TagComplete Neo README,Forge Neo TagComplete,current,retrieved 2026-09-06,https://github.com/eduardoabreu81/sd-webui-tagcomplete-neo,autocomplete; aliases/translations; counts; LoRA triggers,SOURCE_VERIFIED,Avoid duplication
SRC_FORGE_COUPLE,TIER_A,TOOL_DOC,SD Forge Attention Couple README,Forge Couple,current,retrieved 2026-09-06,https://github.com/Haoming02/sd-forge-couple,regional conditioning; mixed-feature mitigation; limitations,SOURCE_VERIFIED,Non-tag strategy
SRC_ADETAILER_NEO,TIER_A,TOOL_DOC,ADetailer Neo README,ADetailer Neo,current,retrieved 2026-09-06,https://github.com/Haoming02/ADetailer-Neo,automatic detection and inpainting,SOURCE_VERIFIED,"Detail strategy, not semantic relation"
SRC_DYNAMIC_PROMPTS_NEO,TIER_A,TOOL_DOC,Dynamic Prompts ForgeNeo fork README,Dynamic Prompts Neo,current,retrieved 2026-09-06,https://github.com/abzaloff/sd-dynamic-prompts,random/combinatorial/wildcard syntax,SOURCE_VERIFIED,Stage9/external tool
SRC_WD14_TAGGER_NEO,TIER_A,TOOL_DOC,WD14 Tagger Forge Neo fork,WD14 Tagger,current,retrieved 2026-09-06,https://github.com/hirorohi03/stable-diffusion-webui-wd14-tagger,booru-style image interrogation,SOURCE_VERIFIED,Observation aid only
SRC_DANBOORU_2024_PROXY,TIER_B,DATASET_SNAPSHOT,isek-ai danbooru-tags-2024,Danbooru model-era proxy,2024 dataset,collected 2025-01-22,https://huggingface.co/datasets/isek-ai/danbooru-tags-2024,training-era presence proxy only,SEMANTIC_CURATED,Never replace current project canonical truth
SRC_WAI_V17_CURRENT,TIER_A,MODEL_CARD,WAI-illustrious current v17 listing,WAI-illustrious-SDXL v17,v17,checked 2026-09-06,https://tensorhub.art/models/990778216270553015,exact current WAI v17 changelog; Forge Neo recommendation; generation settings,SOURCE_VERIFIED,Current target model; no exact training cutoff stated
SRC_NOOBAI_V11_EPS_CURRENT,TIER_A,MODEL_CARD,NoobAI XL 1.1 EPS official model card,NoobAI XL 1.1 EPS branch,1.1 EPS,checked 2026-09-06,https://huggingface.co/Laxhar/noobai-XL-1.1,exact EPS 1.1 model/training description; separate from V-Pred,SOURCE_VERIFIED,v1.0 cutoff text must not be reused as EPS 1.1 cutoff
SRC_NOOBAI_VPRED_V10_CURRENT,TIER_A,MODEL_CARD,NoobAI XL V-Pred 1.0 official model card,NoobAI XL V-Pred branch,1.0 V-Pred,checked 2026-09-06,https://huggingface.co/Laxhar/noobai-XL-Vpred-1.0,separate V-Pred branch and parameter handling; optional comparison only,SOURCE_VERIFIED,Do not call EPS 1.1 the unqualified latest NoobAI
SRC_ANIMA_CURRENT,TIER_A,MODEL_CARD,CircleStone Anima official model card,Anima,current repo,checked 2026-09-06,https://huggingface.co/circlestone-labs/Anima,separate newer model family; Sep-2025 anime knowledge cutoff; Danbooru/natural-language prompting,SOURCE_VERIFIED,Separate architecture; optional research profile
SRC_STAGE8B_PILOT_CURATION,TIER_B,DATASET_SNAPSHOT,Stage 8B reviewed Pilot relation sidecar,DanbooruTagTool Stage 8B,FINAL relation-preserving baseline,2026-09-06 snapshot,data/semantic/semantic_support_profiles.csv,existing Pilot semantic relation definitions and provenance,SEMANTIC_CURATED,Project-local baseline; not model-observed evidence
