canonical_tag,post_count,aliases,v1_status,prescreen_status,stage_a_family,stage_b_fit,nearest_special_identity,reason,confidence,review_priority,content_filter_used,audit_bucket,p0_spotcheck
hair_between_eyes,1774591,bangs_between_eyes,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,between testicles (SpecialID 1108; score=0.490),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hair_over_one_eye,368681,eye_covering_bang|hair_over_eye|/hooe,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,penis over one eye (SpecialID 823; score=0.743),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
clothes_lift,286238,,LIKELY_CANDIDATE,NEEDS_REVIEW,BOUNDARY_CONCEPT,BOUNDARY_REVIEW,clothes aside (SpecialID 2653; score=0.566),meaning is specific but the Special-versus-General boundary needs human review,LOW,P1,NO,,
mole_under_eye,248379,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,under boob (SpecialID 2642; score=0.450),ordinary mark/adornment at a non-intimate site; General discovery is sufficient,HIGH,P3,NO,,
hand_on_own_hip,228328,hand_on_hip|hand_on_waist,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.748),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,V1_CANDIDATE_AUDIT,
covered_navel,196931,clothed_navel,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,covered anus (SpecialID 795; score=0.566),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
skindentation,161742,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,fellatio (SpecialID 104; score=0.214),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
thick_thighs,159807,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,thick penis (SpecialID 1382; score=0.555),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
standing_on_one_leg,126535,on_one_foot|on_one_leg|standing_on_one_foot,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,skirt around one leg (SpecialID 2249; score=0.542),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
arms_behind_back,124159,/abb|hands_behind_back|arms_behind,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,bare back (SpecialID 2208; score=0.513),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
