row_id,canonical_tag,post_count,display_ja,search_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-035891,original,1572949,オリジナル,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035892,touhou,1092742,東方Project,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035893,kantai_collection,543372,艦隊これくしょん,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035894,blue_archive,450253,ブルーアーカイブ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035895,pokemon,408397,ポケットモンスター,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035897,hololive,326910,ホロライブ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035898,genshin_impact,312641,原神,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035902,arknights,227753,アークナイツ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035903,vocaloid,208558,ボーカロイド,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035905,azur_lane,156875,アズールレーン,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035907,honkai:_star_rail,133296,崩壊：スターレイル,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035908,love_live!,128547,ラブライブ！,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035909,fire_emblem,125066,ファイアーエムブレム,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035910,hololive_english,113643,ホロライブEnglish,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035911,zenless_zone_zero,112534,ゼンレスゾーンゼロ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035912,final_fantasy,108131,ファイナルファンタジー,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035913,nijisanji,90865,にじさんじ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035914,indie_virtual_youtuber,87550,個人VTuber,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035916,girls'_frontline,79648,ドールズフロントライン,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035917,girls_und_panzer,73504,ガールズ＆パンツァー,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035918,gundam,70843,ガンダム,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035920,precure,68711,プリキュア,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035922,kemono_friends,58303,けものフレンズ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035924,wuthering_waves,55599,鳴潮,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035925,one_piece,54938,ワンピース,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035926,jojo_no_kimyou_na_bouken,54789,ジョジョの奇妙な冒険,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035927,honkai_impact_3rd,53728,崩壊3rd,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035928,granblue_fantasy,52986,グランブルーファンタジー,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035929,persona,48965,ペルソナ,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035931,goddess_of_victory:_nikke,46957,勝利の女神：NIKKE,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035933,chainsaw_man,45799,チェンソーマン,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035935,boku_no_hero_academia,44139,僕のヒーローアカデミア,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
I70-035936,yu-gi-oh!,44082,遊☆戯☆王,,KEEP,,,ACCEPTED_NOFLAG_SEMANTIC_PASS,HIGH,current display + preserved source evidence,ACCEPTED_AI no-flag/top-impact semantic pass; suspicious abbreviation/literal/official-title cases isolated instead of blanket KEEP.,PROPOSED
