canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
cat_mario,mario_(series),https://www.nintendo.com/us/whatsnew/unravel-new-paw-sibilities-in-super-mario-3d-world-bowsers-fury-for-nintendo-switch/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo describes Mario's feline form as Cat Mario in its official Super Mario 3D World + Bowser's Fury announcement.",Exact named transformation of Mario; canonical HOME remains the Mario series root.
fire_mario,mario_(series),https://www.nintendo.com/us/whatsnew/unravel-new-paw-sibilities-in-super-mario-3d-world-bowsers-fury-for-nintendo-switch/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo explicitly names Fire Mario among Mario's official power-up transformations.",Exact named transformation of Mario; canonical HOME remains the Mario series root.
tanuki_mario,mario_(series),https://www.nintendo.com/us/whatsnew/unravel-new-paw-sibilities-in-super-mario-3d-world-bowsers-fury-for-nintendo-switch/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo explicitly names Tanooki Mario among Mario's official power-up transformations.",Exact named transformation of Mario; canonical HOME remains the Mario series root.
raccoon_mario,mario_(series),https://mario.nintendo.com/about/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo's official Super Mario site lists Raccoon Mario among Mario's official forms and abilities.",Exact named transformation of Mario; canonical HOME remains the Mario series root.
elephant_mario,mario_(series),https://www.nintendo.com/us/amiibo/detail/elephant-mario-super-mario-bros-wonder/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo identifies Elephant Mario as Mario taking Elephant form after acquiring an Elephant Fruit in Super Mario Bros. Wonder.",Exact named transformation of Mario; canonical HOME remains the Mario series root.
baby_mario,mario_(series),https://www.nintendo.com/au/games/nintendo-switch/mario-kart-8-deluxe/,NINTENDO_OFFICIAL_GAME_ROSTER,"Nintendo's official Mario Kart 8 Deluxe character roster explicitly lists Baby Mario.",Exact named Mario identity/age variant in an official Mario-series roster; canonical HOME remains the Mario series root.
blue_toad_(mario),mario_(series),https://mario.nintendo.com/characters/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo's official Toad profile says other Toads of the same kind occur in different colors, supporting this exact blue Toad member tag.",Color-specific Toad identity is grounded by the official species/profile statement; no unrelated Toad home is inferred.
red_toad_(mario),mario_(series),https://mario.nintendo.com/characters/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo's official Super Mario character roster names Toad and identifies the red-spotted Toad as the profile subject.",Exact named canonical Toad variant in Nintendo's Super Mario roster.
yellow_toad_(mario),mario_(series),https://mario.nintendo.com/characters/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo's official Toad profile says other Toads of the same kind occur in different colors, supporting this exact yellow Toad member tag.",Color-specific Toad identity is grounded by the official species/profile statement; no unrelated Toad home is inferred.
cappy_(mario),super_mario_odyssey,https://www.nintendo.com/en-gb/Games/Nintendo-Switch/Super-Mario-Odyssey-1173332.html,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo's official Super Mario Odyssey page introduces Cappy, a resident of the Cap Kingdom who joins Mario's adventure.",Cappy is directly tied to the catalogued Super Mario Odyssey origin root.
geno_(mario),super_mario_rpg,https://www.nintendo.com/us/store/products/super-mario-rpg-118738/,NINTENDO_OFFICIAL_TITLE_ROSTER,"Nintendo's official Super Mario RPG page names Geno and identifies him as a party ally/protector of Star Road.",Original character explicitly presented in the catalogued Super Mario RPG title; no Mario-umbrella inference.
mallow_(mario),super_mario_rpg,https://www.nintendo.com/us/store/products/super-mario-rpg-118738/,NINTENDO_OFFICIAL_TITLE_ROSTER,"Nintendo's official Super Mario RPG page names Mallow and describes his role as a party ally in that story.",Original character explicitly presented in the catalogued Super Mario RPG title; no Mario-umbrella inference.
luma_(mario),super_mario_galaxy,https://www.nintendo.com/us/store/products/super-mario-galaxy-super-mario-galaxy-2-121495/,NINTENDO_OFFICIAL_TITLE_ROSTER,"Nintendo's official Super Mario Galaxy page names the Lumas and describes them as star-shaped creatures appearing in the Galaxy games.",Exact official Galaxy-series creature group; use the catalogued Super Mario Galaxy root.
talking_flower_(mario),mario_(series),https://www.nintendo.com/us/store/products/amiibo-captain-toad-talking-flower-super-mario-bros-wonder-series-122219/,NINTENDO_OFFICIAL_CHARACTER_PROFILE,"Nintendo identifies Talking Flower as a character from Super Mario Bros. Wonder that chats with Mario and his friends.",Exact named official Mario-series character; use the catalogued Mario series root because the individual Wonder Copyright root is absent.
