special_id,canonical_or_tag,general_overlap,previous_product_fit_verdict,final_reverse_audit_verdict,final_reason,general_discoverability_note,provenance_note,source_batch
49,presenting own body,YES,KEEP,NEEDS_REVIEW,"generic-looking pose wording and General pose coverage exist, but must confirm whether Danbooru semantics are specifically sexual/presentational enough to justify Special",#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
57,take your pick,YES,KEEP,NEEDS_REVIEW,name is non-obvious and may encode a specific adult composition/template; definition should be checked before demotion,#64 effective sidecarにexact canonical overlapなし。Generalだけでの到達性は未確認。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP。production Special/catalog/UserDataは変更していない。,B1
950,slave crest (shield hero),NO,OUT_OF_SCOPE_PRODUCT,NEEDS_REVIEW,旧OUT_OF_SCOPE_PRODUCTだが#64 effective sidecarにexact canonical overlapがなく、Generalだけで十分な理解・発見経路を確認できない。作品固有itemのscope/meaningを別途定義するまで保留。,#64 effective sidecarにexact canonical overlapなし。 General側だけでの到達性は本レビューでは確認できない。,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1012,poke ball insertion,YES,OUT_OF_SCOPE_PRODUCT,NEEDS_REVIEW,poke ball insertionは旧OUT_OF_SCOPE_PRODUCTで、作品固有objectと特殊挿入のどちらを核に扱うかが境界問題になる。General移管かSpecial保持かをscope定義まで保留。,General exact canonical=poke_ball_insertion; 日本語表示=モンスターボール挿入; 日本語search=poke・ボール・insertion; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1037,clear insertion,YES,KEEP_REFERENCE_ONLY,NEEDS_REVIEW,clear insertionは透明表現・挿入状態・別のcanonical意味のいずれかが不明で、旧KEEP_REFERENCE_ONLY evidenceだけではdeep valueを確定できない。,General exact canonical=clear_insertion; 日本語表示=透明な挿入; 日本語search=透明な挿入; #64 browse path=STYLE_QUALITY_META.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=KEEP_REFERENCE_ONLY。production Special/catalog/UserDataは変更していない。,B2
1117,fake penis shadow,YES,REVIEW,NEEDS_REVIEW,fake penis shadowはvisual artifact/templateなのか身体状態なのかが不明で、旧Product-Fit REVIEWをGeneral/KEEPへ安全に確定できない。,General exact canonical=fake_penis_shadow; 日本語表示=偽の陰茎の影; 日本語search=偽のpenis・shadow; #64 browse path=STYLE_QUALITY_META.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=REVIEW。production Special/catalog/UserDataは変更していない。,B2
1122,handjob gesture (not ok),YES,REVIEW,NEEDS_REVIEW,handjob gesture (not ok)はgestureの意味とnot-okのconsent/intensity条件の境界が不明。一般handjobへ正規化すると重要な意味差を失う可能性がある。,General exact canonical=handjob_gesture_(not_ok); 日本語表示=handjob gesture（not ok）; 日本語search=タグ「handjob gesture (not ok)」; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=REVIEW。production Special/catalog/UserDataは変更していない。,B2
1139,game controller nipples (meme),YES,REVIEW,NEEDS_REVIEW,game controller nipples (meme)はmeme/named visual conceptで、一般objectと特殊sexual templateの境界が不明。,General exact canonical=game_controller_nipples_(meme); 日本語表示=ゲームコントローラー乳首（ミーム）; 日本語search=game controller nipples (meme); #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=REVIEW。production Special/catalog/UserDataは変更していない。,B2
1171,instance domination,YES,OUT_OF_SCOPE_PRODUCT,NEEDS_REVIEW,instance dominationは旧OUT_OF_SCOPE_PRODUCTで、dominationの一般概念か作品固有のnamed conceptかが不明。General移管/保持を保留。,General exact canonical=instance_domination; 日本語表示=インスタンスの支配; 日本語search=インスタンスの支配; #64 browse path=(taxonomy pathなし; General検索/overlay経路).,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=OUT_OF_SCOPE_PRODUCT。production Special/catalog/UserDataは変更していない。,B2
1173,off-color cum,YES,REVIEW,NEEDS_REVIEW,off-color cumはfluid-specific stateだがoff-colorの定義・視覚境界が不明で、旧Product-Fit REVIEWを残す。,General exact canonical=off-color_cum; 日本語表示=オフカラー精液; 日本語search=オフカラー精液; #64 browse path=COLOR_APPEARANCE.,Issue #109 mechanical ledgerのSpecialID/Tagを維持したhuman reverse audit。既存Special 1..2788。旧Product-Fit=REVIEW。production Special/catalog/UserDataは変更していない。,B2
