row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-035992,tales_of_(series),20835,テイルズ,FIX_BOTH,テイルズ オブ シリーズ,テイルズ,COPYRIGHT_SERIES_FULL_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-035995,utdr_(toby_fox),20287,utdr (toby fox),NEEDS_EXTERNAL_CHECK,,,UMBRELLA_FAN_TAG_UNVERIFIED,MEDIUM,canonical + no Japanese source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036008,arknights:_endfield,17074,アークナイツ:エンドフィールド,FIX_DISPLAY,アークナイツ：エンドフィールド,,COPYRIGHT_ORTHOGRAPHY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036024,alien_stage,15542,异形舞台,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_JA_SURFACE_UNVERIFIED,MEDIUM,current display is Chinese candidate; official Latin form needs confirmation,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036027,code_geass,15086,コードギアス,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_FRANCHISE_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036045,ranma_1/2,13626,らんま1/2,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036047,ensemble_stars!,13254,あんさんぶるスターズ,FIX_DISPLAY,あんさんぶるスターズ！,,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036048,darkstalkers,13242,ダークストーカーズ,FIX_BOTH,ヴァンパイアシリーズ,ダークストーカーズ,COPYRIGHT_JA_FRANCHISE_NAME,MEDIUM,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036061,nikki_(series),12274,ニキシリーズ,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_SERIES_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036079,the_legend_of_zelda:_breath_of_the_wild,10984,ゼルダの伝説ブレスオブザワイルド,FIX_DISPLAY,ゼルダの伝説 ブレス オブ ザ ワイルド,,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036081,guilty_gear_strive,10791,ギルティギアストライヴ,FIX_BOTH,ギルティギア ストライヴ,GUILTY GEAR -STRIVE-,COPYRIGHT_READABLE_JA_TITLE,MEDIUM,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036085,naruto_shippuuden,10528,ザ・ロストタワー,FIX_BOTH,NARUTO -ナルト- 疾風伝,ナルト疾風伝 | 疾風伝,REMOVE_DERIVATIVE_TITLE_AS_DISPLAY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036090,hololive_dev_is,10276,ホロライブDEV_IS,KEEP,,,CURRENT_DISPLAY_IS_USABLE_BRAND_FORM,MEDIUM,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036093,naruto_(classic),9974,ナルト,FIX_BOTH,NARUTO -ナルト-,ナルト,COPYRIGHT_FULL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036099,smile_precure!,9457,スマイルプリキュア,FIX_DISPLAY,スマイルプリキュア！,,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036103,the_legend_of_zelda:_tears_of_the_kingdom,9249,ゼルダの伝説ティアーズオブザキングダム,FIX_DISPLAY,ゼルダの伝説 ティアーズ オブ ザ キングダム,,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036111,ace_attorney,9004,逆転裁判,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_FRANCHISE_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036113,yuruyuri,8873,ゆるゆり,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
