scope,pattern,canonical_tag,special_id,日本語表示,日本語表示_source,current_classification,current_secondary,problem_reason,suggested_classification,confidence,human_review_required,change_mode,evidence_note
General,modifier_target_missing_secondary,aqua_bikini,,（監査用仮訳）水色・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 1051; source_batch=2; accepted_confidence=HIGH
General,modifier_target_missing_secondary,aqua_eyes,,（監査用仮訳）水色・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 1070; source_batch=2; accepted_confidence=HIGH
General,modifier_target_missing_secondary,black_bikini,,（監査用仮訳）黒・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 2604; source_batch=4; accepted_confidence=HIGH
General,modifier_target_missing_secondary,black_eyes,,（監査用仮訳）黒・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 2650; source_batch=4; accepted_confidence=HIGH
General,modifier_target_missing_secondary,blue_bikini,,（監査用仮訳）青・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 3000; source_batch=4; accepted_confidence=HIGH
General,modifier_target_missing_secondary,blue_eyes,,（監査用仮訳）青・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 3034; source_batch=4; accepted_confidence=HIGH
General,modifier_target_missing_secondary,brown_bikini,,（監査用仮訳）茶・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 3758; source_batch=5; accepted_confidence=HIGH
General,modifier_target_missing_secondary,brown_eyes,,（監査用仮訳）茶・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 3787; source_batch=5; accepted_confidence=HIGH
General,modifier_target_missing_secondary,green_bikini,,（監査用仮訳）緑・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 10821; source_batch=14; accepted_confidence=HIGH
General,modifier_target_missing_secondary,green_eyes,,（監査用仮訳）緑・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 10850; source_batch=14; accepted_confidence=HIGH
General,modifier_target_missing_secondary,pink_bikini,,（監査用仮訳）ピンク・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 20226; source_batch=25; accepted_confidence=HIGH
