row_id,canonical_tag,display_ja,family_base_display_ja,audit_verdict,proposed_display_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-009861,en_ciel_rena_(sin),エンシェル・レナ,エンシェル・レナ,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-009960,dooby_(1st_costume),dooby,Dooby,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-011195,callie_(alterna)_(splatoon),アオリ,アオリ,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-011979,gyaru_bulbasaur_(shin_no_tenpii),ギャルフシギダネ,ギャルフシギダネ,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-013809,tairitsu_(grievous_lady)_(arcaea),対立,対立,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-014129,giant_otter_(kemono_friends)_(kuro_(kurojill)),オオカワウソ,オオカワウソ,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-014310,katsuragi_marina_(exs-tia_p),葛城真理奈,葛城真理奈,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-015031,sirin_(miracle_magical_girl),シーリン,シーリン,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-019418,tairitsu_(tempest)_(arcaea),対立,対立,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-022885,en_ciel_rena_(laelith),エンシェル・レナ,エンシェル・レナ,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-023169,tairitsu_(axium)_(arcaea),対立,対立,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
I70-023579,en_ciel_rena_(aegis),エンシェル・レナ,エンシェル・レナ,NEEDS_EXTERNAL_CHECK,,VARIANT_PROPER_NAME_OR_FORM_UNVERIFIED,MEDIUM,canonical qualifier + internal source evidence,"family collision is real, but official/common Japanese variant label is not reliable enough from internal evidence alone",PROPOSED
