family,home_copyright,expected_rows,evidence_url,evidence_type,root_review,scope_note
mega_man,mega_man_(series),88,https://www.capcom.co.jp/ir/business/salesdata.html,CAPCOM_OFFICIAL_SERIES_CONTEXT,PASS,"Capcom identifies ロックマン as a series root; qualifier-to-canonical root normalization manually reviewed"
sekaiju,sekaiju_no_meikyuu,70,https://www.atlus.co.jp/title/,ATLUS_OFFICIAL_SERIES_CONTEXT,PASS,"ATLUS explicitly groups 世界樹の迷宮 as a series; qualifier-to-canonical root normalization manually reviewed"
xenoblade,xenoblade_chronicles_(series),61,https://www.nintendo.com/jp/xenoblade/series/index.html,NINTENDO_OFFICIAL_SERIES_AND_CHARACTER_ROSTER,PASS,"Nintendo groups the Xenoblade trilogy and lists series characters; qualifier-to-canonical root normalization manually reviewed"
tales,tales_of_(series),53,https://tales-ch.jp/,BANDAI_NAMCO_OFFICIAL_SERIES_CONTEXT,PASS,"Official Tales Channel defines 『テイルズ オブ』 as a game series; qualifier-to-canonical root normalization manually reviewed"
kirby,kirby_(series),39,https://www.kirby.jp/,NINTENDO_HAL_OFFICIAL_CHARACTER_PORTAL,PASS,"Official Kirby portal contains Character and History surfaces; qualifier-to-canonical root normalization manually reviewed"
naruto,naruto_(series),33,https://naruto-official.com/,SHUEISHA_OFFICIAL_FRANCHISE_PORTAL,PASS,"Official NARUTO portal separates NARUTO/BORUTO works and NARUTO story; qualifier-to-canonical root normalization manually reviewed"
zelda,the_legend_of_zelda,23,https://www.nintendo.com/jp/character/zelda/index.html,NINTENDO_OFFICIAL_SERIES_PORTAL,PASS,"Nintendo identifies ゼルダの伝説 as a series; qualifier-to-canonical root normalization manually reviewed"
jojo,jojo_no_kimyou_na_bouken,17,https://jojo-portal.com/,SHUEISHA_OFFICIAL_FRANCHISE_PORTAL,PASS,"Official JoJo portal spans original comics and anime series; qualifier-to-canonical root normalization manually reviewed"
sailor_moon,bishoujo_senshi_sailor_moon,16,https://sailormoon-official.com/,SAILOR_MOON_OFFICIAL_FRANCHISE_PORTAL,PASS,"Official Sailor Moon project portal covers original comics and animation; qualifier-to-canonical root normalization manually reviewed"
sonic,sonic_(series),14,https://sonic.sega.jp/SonicChannel/character/,SEGA_OFFICIAL_SERIES_CHARACTER_ROSTER,PASS,"SEGA Sonic Channel explicitly presents Sonic-series characters; qualifier-to-canonical root normalization manually reviewed"
mario,mario_(series),13,https://www.nintendo.com/jp/character/mario/index.html,NINTENDO_OFFICIAL_CHARACTER_PORTAL,PASS,"Nintendo Mario portal identifies Mario and recurring companions across the franchise; qualifier-to-canonical root normalization manually reviewed"
pikmin,pikmin_(series),11,https://www.nintendo.com/jp/character/pikmin/index.html,NINTENDO_OFFICIAL_FRANCHISE_PORTAL,PASS,"Nintendo Pikmin portal establishes the canonical Pikmin franchise surface; qualifier-to-canonical root normalization manually reviewed"
symphogear,senki_zesshou_symphogear,8,https://www.symphogear.com/,SYMPHOGEAR_OFFICIAL_SERIES_PORTAL,PASS,"Official Symphogear portal covers the series lineage; qualifier-to-canonical root normalization manually reviewed"
atelier,atelier_(series),7,https://atelier.games/,GUST_OFFICIAL_SERIES_PORTAL,PASS,"GUST labels the site ATELIER SERIES PORTAL SITE; qualifier-to-canonical root normalization manually reviewed"
