identity_key,sample_stratum,membership,general_primary_path,special_id,generation_family,reviewed_class,pilot_review_status,review_reason
gift_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
necklace_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
hand_shadow_covering_breasts_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
broken_condom,ISSUE104_REVIEWED_RISK,OVERLAP,OBJECT_PROP/DAILY,3038,IMPLEMENT_OBJECT,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
can_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
feet_on_another's_face,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3048,DIRECT_COMPOSITE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
upright_restraints,ISSUE104_REVIEWED_RISK,OVERLAP,OBJECT_PROP,3021,RESTRAINT_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
wet_male_underwear,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING/EVERYDAY,3023,CLOTHING_EXPOSURE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
lipstick_mark_on_breast,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,COLOR_APPEARANCE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
boobs?_wanna_touch_boobs?_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,STYLE_QUALITY_META,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
bandaid_on_breast,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_on_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3033,FLUID_STATE_ACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breast_envy,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,EXPRESSION_EMOTION,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
cheek-to-breast,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
face_to_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,2992,DIRECT_COMPOSITE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
black_leash,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP/DAILY,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_pillow,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3014,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_on_breast,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3040,ACTION_INTERACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breasts_in_a_box,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
poking_another's_breast,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3010,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
fluid_on_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3083,FLUID_STATE_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
extreme_gaping,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3028,BODY_STATE,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
handcuff_dangle,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
bullet_wound,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
condom_pull,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3052,ACTION_INTERACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
slapping_with_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3074,ACTION_INTERACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
oppai_challenge,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
ribbon_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING/ACCESSORY,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
asymmetrical_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3024,BODY_ATTRIBUTE,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
