special_id,tag_or_surface,product_fit_verdict,v1_review_note,v2_resolution,v2_kind_id,v2_kind_ja,v2_body_sites,v2_body_sites_ja,v2_themes,v2_themes_ja,rationale
594,penis awe,KEEP,penis awe should not be forced into SITUATION_SCENE or META_RATING,BROWSE_RESOLVED,,,MALE_GENITAL,男性器,,,Reaction/expression has no clean kind shelf; use the independently valid male-genital facet instead of forcing scene/meta.
832,foot pussy,KEEP,`foot pussy` のidentityが身体変形・部位表現・行為のどれを主閲覧意図とするか現行説明だけでは確定できない。,BROWSE_RESOLVED,POSE_SCENE,ポーズ・構図・場面,,,,,Concept is a visual foot arrangement/presentation rather than female genital anatomy or an act; broad pose/scene is the least distortive browse home.
904,tail anus,KEEP,`tail anus` のidentityが非人間身体特徴・肛門部位・関係表現のどれを主閲覧意図とするか現行説明だけでは確定できない。,BROWSE_RESOLVED,NONHUMAN_TRANSFORMATION,異形・変形,BUTTOCK_ANAL,尻・肛門,,,Concept is an anus attached to or positioned at a tail/base; nonhuman/transformation home plus buttock/anal facet.
1005,body onahole,REVIEW,`body onahole` のidentityが身体変形・人体を器具化した表現・性具概念のどれを主閲覧意図とするか現行説明だけでは確定できない。,DEFER_PRODUCT_FIT_REVIEW,,,,,,,Issue #63 product-fit REVIEW must remain inspectable and must not be silently promoted to an ordinary resolved browse candidate.
1027,poking penis,REVIEW,`poking penis` のidentityが陰茎形状・接触行為・構図のどれを主閲覧意図とするか現行説明だけでは確定できない。,DEFER_PRODUCT_FIT_REVIEW,,,,,,,Issue #63 product-fit REVIEW must remain inspectable and must not be silently promoted to an ordinary resolved browse candidate.
1028,penis face,REVIEW,`penis face` のidentityが構図・身体変形・接触関係のどれを主閲覧意図とするか現行説明だけでは確定できない。,DEFER_PRODUCT_FIT_REVIEW,,,,,,,Issue #63 product-fit REVIEW must remain inspectable and must not be silently promoted to an ordinary resolved browse candidate.
1084,arm slave (mecha),OUT_OF_SCOPE_PRODUCT,`arm slave (mecha)` の実identity/日本語説明が不明瞭。旧説明だけでUI経路を確定しない。,OUT_OF_SCOPE_NO_BROWSE,,,,,,,Issue #63 product-fit policy excludes OUT_OF_SCOPE_PRODUCT from normal product-facing browse surfaces.
1128,sex hair,KEEP,sex hair: browse intent unclear,BROWSE_RESOLVED,BODY_STATE,身体・状態,,,,,Treat as a post-sex hair/appearance state; body-state is more natural than meta or scene.
1227,cum on fourth wall,KEEP,`cum on fourth wall` は物理付着/メタ演出のどちらを主閲覧にするか要追加確認。,BROWSE_RESOLVED,FLUID_EXCRETION,体液・排泄,,,,,Primary user intent is cum placement/effect; fluid shelf is more useful than forcing the fourth-wall rendering detail into meta.
1252,erect nipple,KEEP_REFERENCE_ONLY,surface lacks covered meaning of target covered_nipples,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1253,erect nipples,KEEP_REFERENCE_ONLY,surface lacks covered meaning of target covered_nipples,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1255,errect nipples,KEEP_REFERENCE_ONLY,surface lacks covered meaning of target covered_nipples,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1256,perky nipples,KEEP_REFERENCE_ONLY,surface lacks covered meaning of target covered_nipples,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1285,pussy veil,KEEP_REFERENCE_ONLY,pussy veil -> pelvic_curtain needs canonical context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1308,gang rape,REVIEW,gang rape adds non-consent absent from target gangbang,DEFER_PRODUCT_FIT_REVIEW,,,,,,,Issue #63 product-fit REVIEW must remain inspectable and must not be silently promoted to an ordinary resolved browse candidate.
1577,erect nipplees,REVIEW,surface says erect nipples but canonical target is covered_nipples,DEFER_PRODUCT_FIT_REVIEW,,,,,,,Issue #63 product-fit REVIEW must remain inspectable and must not be silently promoted to an ordinary resolved browse candidate.
1608,naughty smile,KEEP_REFERENCE_ONLY,naughty smile should not be forced into META_RATING or SITUATION_SCENE,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1741,gagging,KEEP,gagging can be sexual or non-sexual; source itself recommends sexual-tag context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,MOUTH_ORAL,口・口内,,,Gagging is an action/reaction involving forced insertion/ingestion at the mouth; no BDSM theme is implied by the tag itself.
1743,bj,KEEP_REFERENCE_ONLY,bj is an abbreviation with known false-positive risk outside sexual context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1757,doggy,KEEP,doggy is a sexual-position shorthand in this source but is ambiguous as a standalone browse term,BROWSE_RESOLVED,POSE_SCENE,ポーズ・構図・場面,,,,,"Within this Special identity the intended use is the sexual-position shorthand, so place under broad pose/scene; generic-word ambiguity is handled by search context."
1758,gaping,KEEP,gaping does not identify a stable body site or act without context,BROWSE_RESOLVED,BODY_STATE,身体・状態,FEMALE_GENITAL | BUTTOCK_ANAL,女性器 | 尻・肛門,,,Generic gaping is a bodily state that can apply to vaginal or anal orifices; dual site facets are preferable to inventing a subgenre.
1759,prolapse,KEEP,generic prolapse lacks a body site and may be medical rather than sexual,BROWSE_RESOLVED,BODY_STATE,身体・状態,,,,,Generic prolapse is a bodily/anatomical state; do not force a specific site or R18G theme without context.
1763,shit,KEEP_REFERENCE_ONLY,shit is also a general profanity; do not force the excretion shelf without context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1789,castration,KEEP,castration is also a legitimate medical procedure; do not force the R18G shelf without context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,Castration is a procedure/action affecting male genital/reproductive anatomy; omit R18G theme because medical/non-R18G contexts also exist.
1790,orchiectomy,KEEP,orchiectomy is also a legitimate medical procedure; do not force the R18G shelf without context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,Orchiectomy is a procedure/action targeting testes; male-genital facet is valid while R18G theme remains context-dependent.
1791,gape,KEEP_REFERENCE_ONLY,generic gape does not identify which body site is being browsed,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1793,hysterectomy,KEEP,hysterectomy is also a legitimate medical procedure; do not force the R18G shelf without context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,FEMALE_GENITAL,女性器,,,Hysterectomy is a procedure/action on female reproductive anatomy; omit R18G theme because it is also a medical procedure.
1794,oophorectomy,KEEP,oophorectomy is also a legitimate medical procedure; do not force the R18G shelf without context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,FEMALE_GENITAL,女性器,,,Oophorectomy is a procedure/action on female reproductive anatomy; omit R18G theme because it is also a medical procedure.
1795,salpingectomy,KEEP,salpingectomy is also a legitimate medical procedure; do not force the R18G shelf without context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,FEMALE_GENITAL,女性器,,,Salpingectomy is a procedure/action on female reproductive anatomy; omit R18G theme because it is also a medical procedure.
1797,insert,KEEP_REFERENCE_ONLY,insert is a general verb and does not identify a stable sexual browse path without context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1798,penetrate,KEEP_REFERENCE_ONLY,penetrate is a general verb and does not identify a stable sexual browse path without context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
