canonical_tag,provisional_verdict,proposed_display_ja,proposed_search_ja,evidence_ref,audit_note,status
osomatsu_(series),KEEP,,,https://www.osomatsusan.com/,Official project distinguishes おそ松くん source from TV anime おそ松さん; existing series-level display preserves both identities.,VERIFIED_SHORTLIST
cookie_run:_ovenbreak,KEEP,,,https://www.devsisters.com/en/press/press-kit/cookierun-ovenbreak/,Devsisters official press kit uses CookieRun: OvenBreak.,VERIFIED_SHORTLIST
nier,KEEP,,,https://www.jp.square-enix.com/music/lineup/series/nier/,Square Enix official lineup explicitly labels NieRシリーズ / ニーア.,VERIFIED_SHORTLIST
shadowverse:_worlds_beyond,KEEP,,,https://shadowverse-wb.com/,Cygames official surface uses Shadowverse: Worlds Beyond.,VERIFIED_SHORTLIST
sengoku_musou,KEEP,,,https://www.gamecity.ne.jp/license/jp/series/series.html?id=9036,Koei Tecmo official license page uses 戦国無双 and explicitly treats it as a series.,VERIFIED_SHORTLIST
pokemon_pokopia,KEEP,,,https://www.pokemon.co.jp/ex/pokopia/,Pokemon official Japanese surface uses ぽこ あ ポケモン.,VERIFIED_SHORTLIST
bishoujo_senshi_sailor_moon_(first_season),KEEP,,,https://www.sailormoon-official.com/,Official Sailor Moon project uses 美少女戦士セーラームーン; first-season tag can safely retain base title.,VERIFIED_SHORTLIST
sekiro:_shadows_die_twice,KEEP,,,https://www.fromsoftware.jp/jp/detail.html?csm=104,FromSoftware official product page uses SEKIRO: SHADOWS DIE TWICE.,VERIFIED_SHORTLIST
wind_breaker_(nii_satoru),KEEP,,,https://windbreaker-anime.com/,Official anime site identifies Satoru Nii's WIND BREAKER.,VERIFIED_SHORTLIST
tower_of_fantasy,KEEP,,,https://www.playstation.com/ja-jp/games/tower-of-fantasy/,PlayStation Japan official product page uses Tower of Fantasy（幻塔）.,VERIFIED_SHORTLIST
dislyte,FIX_DISPLAY,DISLYTE‐神世代ネオンシティ‐,,https://dislyte-jp.farlightgames.com/,Farlight official Japanese product title is DISLYTE‐神世代ネオンシティ‐.,VERIFIED_SHORTLIST
type-moon,KEEP,,,https://typemoon.com/,TYPE-MOON official site confirms the brand identity exactly.,VERIFIED_SHORTLIST
bravely_default_(series),KEEP,,,https://www.jp.square-enix.com/bdbl_SP/about/,Square Enix official page explicitly refers to the ブレイブリーシリーズ and its origin BRAVELY DEFAULT.,VERIFIED_SHORTLIST
a_hat_in_time,KEEP,,,https://support.hatintime.com/hc/en-us/articles/115003328254-Where-can-I-purchase-A-Hat-in-Time,Gears for Breakfast official support uses A Hat in Time exactly.,VERIFIED_SHORTLIST
fire_emblem:_fortune's_weave,KEEP,,,https://www.nintendo.com/jp/games/switch2/aaaea/index.html,Nintendo official Japanese title is ファイアーエムブレム 万紫千紅.,VERIFIED_SHORTLIST
paradox_live,KEEP,,,https://paradoxlive.jp/,Official project site uses Paradox Live.,VERIFIED_SHORTLIST
silent_hill_f,KEEP,,,https://www.konami.com/games/silenthill/f/,Konami official title is SILENT HILL f.,VERIFIED_SHORTLIST
persona_5:_the_phantom_x,FIX_DISPLAY,ペルソナ５: The Phantom X,,https://p5x.jp/,Official SEGA/ATLUS site uses ペルソナ５: The Phantom X with full-width ５.,VERIFIED_SHORTLIST
wonder_woman_(series),KEEP,,,https://www.warnerbros.co.jp/home_entertainment/lc7ysapgnaz5/,Warner Bros. Japan official page uses ワンダーウーマン and references the DC property/series identity.,VERIFIED_SHORTLIST
senjou_no_valkyria_1,KEEP,,,https://portal.valkyria.jp/game/,SEGA official Valkyria portal uses 戦場のヴァルキュリア for the first title.,VERIFIED_SHORTLIST
fate/unlimited_blade_works,KEEP,,,https://typemoon.com/anime/,TYPE-MOON official anime list identifies Fate/stay night [UBW] and references the full Unlimited Blade Works title in notices.,VERIFIED_SHORTLIST
piapro_studio,KEEP,,,https://piaprostudio.com/,Crypton official product surface uses Piapro Studio / ピアプロスタジオ.,VERIFIED_SHORTLIST
the_little_mermaid_(disney),KEEP,,,https://www.disney.co.jp/fc/little-mermaid,Disney Japan official franchise page uses リトル・マーメイド.,VERIFIED_SHORTLIST
resident_evil_2_(remake),KEEP,,,https://www.capcom.co.jp/ir/data/oar/2018/develop/re2.html,Capcom official corporate product page uses バイオハザード RE:2.,VERIFIED_SHORTLIST
tenga,KEEP,,,https://store.tenga.co.jp/,TENGA official store uses the TENGA brand exactly.,VERIFIED_SHORTLIST
wild_arms_2,FIX_DISPLAY,ワイルドアームズ 2ndイグニッション,,https://www.playstation.com/ja-jp/games/wild-arms-2/,PlayStation Japan official current title uses ワイルドアームズ 2ndイグニッション.,VERIFIED_SHORTLIST
pragmata,KEEP,,,https://www.capcom-games.com/pragmata/,Capcom official product title is PRAGMATA; Japanese store also describes it as プラグマタ.,VERIFIED_SHORTLIST
blazblue:_central_fiction,KEEP,,,https://www.arcsystemworks.jp/portal/post-1012/,Arc System Works official notice uses BLAZBLUE CENTRALFICTION.,VERIFIED_SHORTLIST
kamen_rider_ooo_(series),KEEP,,,https://www.kamen-rider-official.com/riders/12,Toei official Kamen Rider site uses 仮面ライダーオーズ/OOO.,VERIFIED_SHORTLIST
alien_(series),KEEP,,,https://www.20thcenturystudios.jp/movies/alien,20th Century Studios Japan official page uses エイリアン for the property title.,VERIFIED_SHORTLIST
shantae_(series),KEEP,,,https://wayforward.com/gameography/,WayForward official gameography shows the Shantae lineage and franchise identity.,VERIFIED_SHORTLIST
2026_fifa_world_cup,KEEP,,,https://www.fifa.com/ja/tournaments/mens/worldcup/canadamexicousa2026,FIFA official Japanese surface uses 2026 FIFAワールドカップ / FIFAワールドカップ26 terminology; existing display is identity-safe.,VERIFIED_SHORTLIST
