row_id,canonical_tag,post_count,display_ja,family_base_canonical,family_base_display_ja,canonical_variant_qualifier,existing_candidate_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-011073,yukari_(swimsuit)_(blue_archive),247,勘解由小路ユカリ(水着),yukari_(blue_archive),勘解由小路ユカリ,swimsuit,勘解由小路ユカリ(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,勘解由小路ユカリ（swimsuit）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011105,sena_(casual)_(blue_archive),246,氷室セナ(私服),sena_(blue_archive),氷室セナ,casual,氷室セナ(私服),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,氷室セナ（casual）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011218,chisa_(peach_parfait)_(wuthering_waves),242,千咲・白桃パフェ,chisa_(wuthering_waves),千咲,peach parfait,千咲・白桃パフェ,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,FIX_DISPLAY,千咲（peach parfait）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011276,shun_(swimsuit)_(blue_archive),241,春原シュン(水着),shun_(blue_archive),春原シュン,swimsuit,春原シュン(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,春原シュン（swimsuit）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011280,wu_zetian_(swimsuit_caster)_(fate),241,武則天(水着),wu_zetian_(fate),武則天,swimsuit caster,武則天(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,武則天（swimsuit caster）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011290,kageyama_shien_(1st_costume),240,影山シエン(通常),kageyama_shien,影山シエン,1st costume,影山シエン(通常),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,影山シエン（1st costume）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011299,omaru_polka_(casual),240,尾丸ポルカ(私服衣装),omaru_polka,尾丸ポルカ,casual,尾丸ポルカ(私服衣装),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,尾丸ポルカ（casual）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-011421,anis_(star)_(t.t._star)_(nikke),236,アニス:T.T.STAR,anis_(nikke),アニス（NIKKE）,star / t.t. star,アニス:T.T.STAR,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,FIX_DISPLAY,アニス（NIKKE）（star / t.t. star）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-012052,suzutsuki_(swimsuit)_(kancolle),221,涼月(水着),suzutsuki_(kancolle),涼月,swimsuit,涼月(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,涼月（swimsuit）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
I70-012326,daring_tact_(racing)_(umamusume),214,デアリングタクト(レース衣装),daring_tact_(umamusume),デアリングタクト,racing,デアリングタクト(レース衣装),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,デアリングタクト（racing）,,BASE_IDENTITY_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,family_base_display_ja + canonical qualifier diff; raw Japanese candidate only,基準キャラの日本語名は確定済みだがvariant日本語名はraw candidate以外の裏付けがない。未検証訳を残さず、基準名＋Danbooru canonical variant識別子へ戻してidentityと区別を両立。,PROPOSED
