ecosystem,canonical_tag,display_ja,proposed_home_copyright,relation_state,evidence_type,old_related_copyright,fanwork_terms_to_exclude,decision_note
pokemon,dawn_(pokemon),ヒカリ（ポケモン）,pokemon,HOME_CONFIRMED,QUALIFIER_COPYRIGHT,"pokemon | pokemon_diamond/pearl/platinum | pokemon_(anime)","コハヒカ::FANWORK_PAIRING | サトヒカ::FANWORK_PAIRING | シロヒカ::FANWORK_PAIRING | ポチャヒカ::FANWORK_PAIRING","_(pokemon) resolves directly to existing Copyright pokemon. Game/anime appearances are not additional homes."
pokemon,pikachu,ピカチュウ,pokemon,HOME_CONFIRMED,OFFICIAL_FRANCHISE_PAGE,"pokemon | pokemon_(anime) | pokemon_red/green/blue/yellow",,"Official Pokémon Pokédex establishes Pikachu as a Pokémon identity. Anime and individual game copyrights are appearances/editions, not extra homes."
pokemon,lapras,ラプラス,pokemon,HOME_CONFIRMED,OFFICIAL_FRANCHISE_PAGE,"pokemon | pokemon_firered_and_leafgreen | pokemon_(anime)",,"Official Pokémon pages establish Lapras as a Pokémon identity. Specific game/anime rows do not become additional homes."
vocaloid,hatsune_miku,初音ミク,vocaloid,HOME_CONFIRMED,OFFICIAL_CHARACTER_PAGE,"vocaloid | utau | pokemon","ミクの日::FANWORK_EVENT | 初音ミクイラスト::FANWORK_HASHTAG","Piapro identifies Hatsune Miku as a Crypton virtual-singer software character and lists VOCALOID2 初音ミク. UTAU/Pokémon are not ownership."
vocaloid,kaito_(vocaloid),KAITO,vocaloid,HOME_CONFIRMED,QUALIFIER_COPYRIGHT+OFFICIAL_CHARACTER_PAGE,"vocaloid | project_sekai | project_diva_(series)",,"_(vocaloid) resolves directly; Piapro independently identifies KAITO as a Crypton virtual-singer software character. Project SEKAI/DIVA are appearances."
kantai_collection,ikazuchi_(kancolle),雷（艦これ）,kantai_collection,HOME_CONFIRMED,QUALIFIER_COPYRIGHT,"kantai_collection | pokemon | youtube","雷ちゃんマジ天使::FANWORK_MEME","_(kancolle) resolves directly to existing Copyright kantai_collection. Pokémon/YouTube co-occurrence is not ownership."
kantai_collection,inazuma_(kancolle),電（艦これ）,kantai_collection,HOME_CONFIRMED,QUALIFIER_COPYRIGHT,"kantai_collection | kantai_collection_(anime) | transformers",,"_(kancolle) resolves directly. Anime adaptation and Transformers co-occurrence do not create homes."
kantai_collection,shimakaze_(kancolle),島風（艦これ）,kantai_collection,HOME_CONFIRMED,QUALIFIER_COPYRIGHT,"kantai_collection | original | idolmaster","なにこれぜかましい::FANWORK_MEME","_(kancolle) resolves directly. original/idolmaster co-occurrence does not create homes."
bocchi_the_rock,gotoh_hitori,後藤ひとり,bocchi_the_rock!,HOME_CONFIRMED,OFFICIAL_WORK_CHARACTER_PAGE,"bocchi_the_rock! | pokemon | chainsaw_man","ぼ喜多::FANWORK_PAIRING","Official Bocchi the Rock! site identifies 後藤ひとり as the work's protagonist/character. Pokémon/Chainsaw Man are false co-occurrence homes."
hololive,shirakami_fubuki,白上フブキ,hololive,HOME_CONFIRMED,OFFICIAL_TALENT_PAGE,"hololive | hololive_english | pokemon","絵フブキ::FANWORK_HASHTAG","Hololive official talent page identifies Shirakami Fubuki as a hololive talent. English/Pokémon do not become additional homes."
hololive,irys_(hololive),IRyS,hololive,HOME_CONFIRMED,QUALIFIER_COPYRIGHT+OFFICIAL_TALENT_PAGE,"hololive | hololive_english | hololive_indonesia",,"_(hololive) resolves directly and official talent page confirms membership. Promise/English-style subgroup metadata is not a second home."
hololive,gawr_gura,がうる・ぐら,hololive,HOME_CONFIRMED,OFFICIAL_TALENT_PAGE,"hololive | hololive_english | reflect_(gawr_gura)",,"Hololive official talent page identifies Gawr Gura as hololive English -Myth-. Subunit hololive_english is metadata beneath the single home hololive; Reflect is not a home."
