row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-044290,licca-chan_(franchise),Copyright,51,IN_2D,HIGH,Copyright identity has established anime or manga works and is retained in the 2D scope after manual review.,https://en.wikipedia.org/wiki/Super_Doll_Licca-chan,MANUAL_SCOPE_BATCH_060
I70-001942,yamamura_sadako,Character,1739,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-008022,xenomorph,Character,368,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-009980,predator_(character),Character,282,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-010660,asimov_(spindlesong),Character,259,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-010787,kirarazaka_marina_(older),Character,255,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-011134,kuze_shizuka_(older),Character,245,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-011273,saaya_(kirome),Character,241,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-011574,duckman,Character,232,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://serika.art/image/1944577,MANUAL_SCOPE_BATCH_060
I70-011784,ottilie_(spindlesong),Character,227,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-012627,shiratama_(shiranami_ramune),Character,208,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,https://bacharu.io/vtuber/shiranami-ramune,MANUAL_SCOPE_BATCH_060
I70-012846,ghostface,Character,203,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-014691,oosaki_(ooe),Character,171,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-015487,jean_(si_land),Character,159,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
