canonical,old_status,old_path,old_confidence,new_status,new_path,new_confidence,reason_ja,evidence_url,review_note
smoking_pipe_in_mouth,PROPOSED,BODY_PART,MEDIUM,PROPOSED,ACTION_CONTACT/OBJECT_USE,MEDIUM,口にくわえたパイプを使う行為・物との関係を主経路にする。,,Luna risk audit: object/contact boundary; BODY_PART is incidental.
pink_nails,PROPOSED,HAIR_FACE,HIGH,PROPOSED,BODY_PART,HIGH,爪という身体部位の色を表すため身体・部位から探す。,https://safebooru.donmai.us/wiki_pages/pink_nails,Wiki defines colored fingernails/toenails; HAIR_FACE is outside the tag identity.
orange_nails,PROPOSED,HAIR_FACE,HIGH,PROPOSED,BODY_PART,HIGH,爪という身体部位の色を表すため身体・部位から探す。,https://safebooru.donmai.us/wiki_pages/pink_nails,Analogous nail-color tag; same body-part identity as pink_nails.
red_nails,PROPOSED,HAIR_FACE,HIGH,PROPOSED,BODY_PART,HIGH,爪という身体部位の色を表すため身体・部位から探す。,https://safebooru.donmai.us/wiki_pages/pink_nails,Analogous nail-color tag; same body-part identity as pink_nails.
standing_on_chair,PROPOSED,HAIR_FACE,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,椅子との接触関係を含むため、姿勢単独でなく行為・接触から探す。,,Pilot boundary sends posture involving contact with an object to ACTION_CONTACT.
sitting_on_creature,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,生き物の上に座る対象間の関係を主経路にする。,,Pilot boundary: contact with another entity takes precedence over pose-only routing.
sarcophagus,PROPOSED,PLACE_BACKGROUND,HIGH,PROPOSED,OBJECT_PROP,HIGH,石棺という具体的な物品identityを主経路にする。,,Object identity is clearer than a place/background route; no new related graph added.
beer_can,PROPOSED,OBJECT_PROP/FOOD,MEDIUM,PROPOSED,OBJECT_PROP/DAILY,MEDIUM,ビール入り飲料缶という容器・小物identityを主経路にする。,https://safebooru.donmai.us/wiki_pages/beer_can,Tag wiki defines an aluminum drink can containing beer and implicates drink_can.
optical_camouflage,PROPOSED,TEXT_SYMBOL/SYMBOL,MEDIUM,PROPOSED,STYLE_QUALITY_META,MEDIUM,背景投影による不可視化という視覚効果を画面表現から探す。,https://safebooru.donmai.us/wiki_pages/optical_camouflage,"Tag wiki describes a visual concealment effect, not text or a symbol."
waiter,UNRESOLVED,,LOW,PROPOSED,PERSON_COUNT,HIGH,飲食店の職業・役柄を人物の種類から探す。,https://safebooru.donmai.us/wiki_pages/waiter,Luna risk audit: clear role/person candidate.
umpire,UNRESOLVED,,LOW,PROPOSED,PERSON_COUNT,MEDIUM,審判という人物の役割を人物の種類から探す。,,Occupation/role tag; accepted PERSON_COUNT route includes roles.
veterinarian,UNRESOLVED,,LOW,PROPOSED,PERSON_COUNT,MEDIUM,獣医師という人物の職業を人物の種類から探す。,,Occupation/role tag; accepted PERSON_COUNT route includes roles.
warrior,UNRESOLVED,,LOW,PROPOSED,PERSON_COUNT,MEDIUM,戦士という人物の役柄を人物の種類から探す。,,Role tag; accepted PERSON_COUNT route includes roles.
witch,UNRESOLVED,,LOW,PROPOSED,PERSON_COUNT,MEDIUM,魔女という人物の役柄を人物の種類から探す。,,Role tag; kept at top level because taxonomy has no role subgenre.
wizard,UNRESOLVED,,LOW,PROPOSED,PERSON_COUNT,MEDIUM,魔法使いという人物の役柄を人物の種類から探す。,,Role tag; kept at top level because taxonomy has no role subgenre.
seiza,UNRESOLVED,,LOW,PROPOSED,POSE_MOVEMENT,MEDIUM,正座という座り方・姿勢をポーズから探す。,,Luna risk audit: common sitting posture candidate.
kneeling_on_liquid,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
lying_on_ball,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
lying_on_branch,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
lying_on_clothes,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
