row_id,canonical_tag,post_count,display_ja,existing_candidate_ja,translation_note,risk_flags,related_copyright_top1,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-006249,vodyanitsa_(genshin_impact),498,ヴォジャニーツァ,ヴォジャニーツァ,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,genshin_impact,1.0,FIX_DISPLAY,vodyanitsa (genshin impact),,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006259,liino_(arknights),496,リーノ,リーノ,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,arknights,1.0,FIX_DISPLAY,liino (arknights),,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006268,duchess_(elden_ring),495,レディ,レディ,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,elden_ring,1.0,FIX_DISPLAY,duchess (elden ring),,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006278,alkaid_mcgrath,494,路辰,路辰,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED,lovebrush_chronicles,1.0,FIX_DISPLAY,alkaid mcgrath,,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006285,miyaura_sanshio,494,宮浦三汐,宮浦三汐 | 宮雯汐,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED,original,1.0,FIX_DISPLAY,miyaura sanshio,,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006294,speaki_(trickcal),493,スピッキー,スピッキー,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,trickcal,0.996942,FIX_DISPLAY,speaki (trickcal),,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006384,bili_girl_33,486,33娘,33娘 | BILIBILI娘—33 | Bili娘33号 | 三三,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED,bilibili,0.995671,FIX_DISPLAY,bili girl 33,,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006401,browt,484,ハブロウ,ハブロウ,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED,pokemon,1.0,FIX_DISPLAY,browt,,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006414,arcane_(arknights),483,オクギ,オクギ,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,arknights,1.0,FIX_DISPLAY,arcane (arknights),,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-006441,qingxiao_(wuthering_waves),482,清宵,清宵,日本語公式表記の追加確認が必要,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,wuthering_waves,1.0,FIX_DISPLAY,qingxiao (wuthering waves),,REJECT_UNVERIFIED_UNCERTAIN_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,要確認/低信頼の日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identityを残さずcanonical由来fallbackへ戻す。,PROPOSED
