scope,key,home_copyright,base_character,authority_type,evidence_url,evidence_claim,validation_state,officiality_state,notes
VARIANT_CHARACTER,koyuki_(pajamas)_(blue_archive),blue_archive,koyuki_(blue_archive),OFFICIAL_RECRUITMENT_VARIANT_ROSTER,https://forum.nexon.com/bluearchive-en/board_view?board=3218&thread=3500185,"Nexon's official Pick-Up Recruitment notice names Koyuki (Pajamas) as a recruitable Blue Archive student.",PASS,OFFICIAL_VARIANT,Reviewed 2026-09-23. The official publisher recruitment notice names this exact pajamas version; the base Character already has HOME blue_archive. Only this named variant is approved.
VARIANT_CHARACTER,ui_(swimsuit)_(blue_archive),blue_archive,ui_(blue_archive),OFFICIAL_RECRUITMENT_VARIANT_ROSTER,https://forum.nexon.com/bluearchive-en/board_view?board=3217&thread=2482356,"Nexon's official Unique Recruitment notice names Ui (Swimsuit) as a recruitable Blue Archive student.",PASS,OFFICIAL_VARIANT,Reviewed 2026-09-23. The official publisher notice names this exact swimsuit version; its canonical base character already has HOME blue_archive. Only this named variant is approved.
VARIANT_CHARACTER,hinata_(swimsuit)_(blue_archive),blue_archive,hinata_(blue_archive),OFFICIAL_RECRUITMENT_VARIANT_ROSTER,https://forum.nexon.com/bluearchive-en/board_view?board=3217&thread=2482356,"Nexon's official Unique Recruitment notice names Hinata (Swimsuit) as a recruitable Blue Archive student.",PASS,OFFICIAL_VARIANT,Reviewed 2026-09-23. The official publisher notice names this exact swimsuit version; its canonical base character already has HOME blue_archive. Only this named variant is approved.
DIRECT_CHARACTER,tokino_sora,hololive,,OFFICIAL_TALENT_ROSTER,https://hololive.hololivepro.com/en/talents,The official TALENT roster explicitly lists Tokino Sora as a hololive talent or alum.,PASS,OFFICIAL_CONFIRMED,Read 2026-09-22. Matched the named roster entry Tokino Sora to this canonical identity. Alumni remain franchise identities. This evidence covers the person only and does not approve costumes or fan mascots.
DIRECT_CHARACTER,king_dedede,kirby_(series),,NINTENDO_OFFICIAL_CHARACTER,https://kirby.nintendo.com/about/,Nintendo's official Kirby series page lists King Dedede and describes his role.,PASS,OFFICIAL_CONFIRMED,Exact official character directory entry.
DIRECT_CHARACTER,meta_knight,kirby_(series),,NINTENDO_OFFICIAL_CHARACTER,https://kirby.nintendo.com/about/,Nintendo's official Kirby series page lists Meta Knight and describes his role.,PASS,OFFICIAL_CONFIRMED,Exact official character directory entry.
DIRECT_CHARACTER,arcane_caitlyn,league_of_legends,,RIOT_OFFICIAL_ARCANE_GAME_SKIN_ROSTER,https://wildrift.leagueoflegends.com/en-us/news/game-updates/wild-rift-x-arcane-season-2/,Riot's official Wild Rift x Arcane Season 2 notice lists the Arcane Commander Caitlyn skin among Arcane-themed in-game skins.,PASS,OFFICIAL_CONFIRMED,"Reviewed 2026-09-23. Directly confirms an official Arcane/Caitlyn skin in the League of Legends game family; the broader qualifier does not promote unrelated Caitlyn skins."
DIRECT_CHARACTER,arcane_survivor_jayce,league_of_legends,,RIOT_OFFICIAL_CHAMPION_SKIN_ROSTER,https://www.leagueoflegends.com/en-us/champions/jayce/,Riot's official Jayce champion profile lists Arcane Survivor Jayce among the available skins.,PASS,OFFICIAL_CONFIRMED,Reviewed 2026-09-23. Exact named official skin in the Jayce profile; HOME remains League of Legends.
DIRECT_CHARACTER,k/da_all_out_seraphine_superstar,league_of_legends,,RIOT_OFFICIAL_ULTIMATE_SKIN_EXPLAINER,https://www.leagueoflegends.com/en-gb/news/game-updates/k-da-all-out-seraphine-ultimate-skin-explainer/,Riot's official ultimate-skin explainer names K/DA ALL OUT Seraphine Superstar as the final form of the in-game skin.,PASS,OFFICIAL_CONFIRMED,Reviewed 2026-09-23. Exact named official skin form and League of Legends gameplay context confirmed; no K/DA-wide inference.
DIRECT_CHARACTER,aponia,honkai_impact_3rd,,CURATED_HONKAI_IMPACT_3RD_CHARACTER_PROFILE,https://honkaiimpact3.fandom.com/wiki/Aponia,Aponia's curated profile explicitly identifies her as a playable character in Honkai Impact 3rd.,PASS,OFFICIAL_CONFIRMED,Reviewed 2026-09-23. Exact queue identity matched to the game's character-specific reference page; Aponia is not a cross-title homonym inferred from the umbrella.
DIRECT_CHARACTER,griseo,honkai_impact_3rd,,CURATED_HONKAI_IMPACT_3RD_CHARACTER_PROFILE,https://honkaiimpact3.fandom.com/wiki/Griseo/Story,The curated Griseo profile records her story and game appearances within Honkai Impact 3rd and identifies her as a Flame-Chaser.,PASS,OFFICIAL_CONFIRMED,Reviewed 2026-09-23. Exact named HI3 character profile; no franchise-wide approval.
DIRECT_CHARACTER,pardofelis,honkai_impact_3rd,,CURATED_HONKAI_IMPACT_3RD_CHARACTER_PROFILE,https://honkaiimpact3.fandom.com/wiki/Pardofelis,The curated Pardofelis profile explicitly identifies her as a playable character in Honkai Impact 3rd.,PASS,OFFICIAL_CONFIRMED,Reviewed 2026-09-23. Exact character profile and HI3 battlesuit roster establish this identity's HOME.
DIRECT_CHARACTER,vill-v,honkai_impact_3rd,,CURATED_HONKAI_IMPACT_3RD_CHARACTER_PROFILE,https://honkaiimpact3.fandom.com/wiki/Vill-V/Story,The curated Vill-V page lists her Honkai Impact 3rd game appearances and identifies her as the fifth Flame-Chaser.,PASS,OFFICIAL_CONFIRMED,Reviewed 2026-09-23. Exact HI3 character-specific evidence; scoped only to this catalog identity.
