row_id,canonical_tag,post_count,display_ja,search_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-003020,abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),1115,アビゲイル・ウィリアムズ（水着・第3再臨）,アビゲイル・ウィリアムズ | アビゲイル(水着) | 第3再臨,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003054,richard_i_(fate),1103,リチャード一世,リチャード一世 | セイバー(strange Fake),NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003086,abigail_williams_(third_ascension)_(fate),1091,アビゲイル・ウィリアムズ（第3再臨）,アビゲイル・ウィリアムズ | 第3再臨,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003100,aijo_karen,1085,愛城華恋,愛城華恋 | 華恋,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003206,tamamo_cross_(fast_as_lightning)_(umamusume),1049,タマモクロス（疾風迅雷）,タマモクロス | 疾風迅雷,FIX_BOTH,タマモクロス（ウマ娘）（fast as lightning）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-003217,metroid_(creature),1045,メトロイド,メトロイド | メトロイド(クリーチャー) | ベビーメトロイド,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003248,meltryllis_(swimsuit_lancer)_(second_ascension)_(fate),1034,メルトリリス（水着ランサー・第2再臨）,メルトリリス | 水着メルトリリス | 第2再臨,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003288,label_(nikke),1022,レーベル,レーベル | レーベル(NIKKE),NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003291,belle_(summer_skies)_(zenless_zone_zero),1021,ベル（夏色ブルースカイ）,ベル | 夏色ブルースカイ,FIX_BOTH,リン（ゼンゼロ）（summer skies）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_SEARCH; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-003360,p-chan_(ranma_1/2),999,Pちゃん,Pちゃん | Pちゃん(らんま1/2),NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
